,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
23,0.6711321775153554,0.02402485922542507,67.31130965217947,10.0,3.773469178208605
27,0.7697248427019172,0.020447061792417228,50.63234232477684,37.0,3.824674794367063
26,0.8028097202332343,0.02325375425657804,50.38339324935111,39.0,3.841523077137372
65,0.8186198444553819,0.030749076475844968,52.234664475503344,39.0,3.8578597912673263
75,0.863326591328668,0.021235994666296113,73.08603821786706,44.0,3.866058434839084
66,0.8550294016152207,0.020975600517517377,33.1197728430626,36.0,3.873420144267937
31,0.8818468843463678,0.021396362413769604,79.5533622195846,36.0,3.880284933656409
24,0.6511149797486055,0.02689664544766729,64.6093049247958,45.0,3.8814543334544394
85,0.8040366461002088,0.04117869255533258,51.35839314849747,23.0,3.9107851048705498
39,0.6260323087067727,0.045497997134916555,40.68257083149311,26.0,3.934793970771233
97,0.8827098977199885,0.05624119972490449,37.12926361999883,18.0,4.034179367460933
72,0.6256598085234615,0.07776401380651941,63.579829986856005,32.0,4.074565518318256
45,0.9303249986628583,0.05037612999438544,70.37844706248463,50.0,4.082287061623534
73,0.6799879846179543,0.14885336457644335,54.0689371507761,37.0,4.1141552384022
80,0.9985469015369912,0.06228782060694783,67.84400421493791,42.0,4.114445594769554
70,0.7448776915609993,0.03958713001748058,69.60833241934682,35.0,4.123208706157462
0,0.12746828594740675,0.07343465568422135,59.73161451687411,43.0,4.126492387984932
77,0.7444024648938784,0.18800954256673644,76.96306790692475,33.0,4.132393778703438
84,0.5273817825072513,0.1443173256972106,55.9868421797814,45.0,4.137760605646991
74,0.813748431064992,0.10699892038786167,46.069974940778266,27.0,4.143540746334842
81,0.7641444328051603,0.12522112947030697,29.151104559805944,38.0,4.1516051903481666
86,0.6329672197531298,0.2725928597872922,59.10509751544433,32.0,4.167558374620709
67,0.658246850001491,0.1153728645170785,46.50631785983042,42.0,4.168970815521959
42,0.3419443345051371,0.18463742759469481,34.66747358287039,37.0,4.171515630164097
90,0.9555506952796863,0.0779047453387417,65.78602568160429,26.0,4.180642052910346
64,0.9508270421909779,0.05992401510146515,61.57823725944556,29.0,4.1943432265549525
38,0.7497594334980275,0.1254488077889413,48.01052269047104,43.0,4.194742990190489
41,0.5139940490336992,0.2838284156144951,52.656609097668664,32.0,4.198933911724889
25,0.6612643672020432,0.3243313868127603,64.67067387687773,31.0,4.2061680093612415
62,0.8933828804472881,0.09410453881477746,30.733554261417087,47.0,4.208741048488873
44,0.7873214392815707,0.09242243833545977,44.502420737433255,34.0,4.210700801068813
95,0.8456371055800056,0.24085778245982814,49.760559777656276,30.0,4.217280221516353
82,0.5813894858947521,0.09372661075742,44.05746370049372,35.0,4.224564267291661
18,0.9802692265232298,0.07500989901317684,75.16738005888766,12.0,4.2256738305679065
50,0.7618011622800568,0.25979141348518764,40.73929528767075,25.0,4.229670138507155
98,0.4171271177648398,0.16079324630535796,57.770801236430465,44.0,4.240196587991438
71,0.7057901449040411,0.3484806916434901,58.18645533115247,40.0,4.243411421368555
56,0.6321880359854344,0.22575401915431514,48.735818211769455,49.0,4.24907694590092
11,0.5293908648223402,0.0978396689635184,25.432261774429133,49.0,4.250511757941648
29,0.881941565740915,0.37043487887759124,50.400618473737964,30.0,4.250880359032067
54,0.2996814112333018,0.33173707347442494,72.16444425297755,21.0,4.252751018477061
53,0.5401262871313265,0.06881427120200481,31.036010938506482,8.0,4.252867107558244
40,0.6966332402107569,0.37747117629592764,59.91451501543743,41.0,4.257225526263315
93,0.7071542591975534,0.20245697858175543,55.070266207748375,50.0,4.259848830358126
28,0.7332258288337862,0.1735537751778252,35.53590381501377,38.0,4.262089718548727
30,0.5908936186837449,0.24237054857750948,69.5961270975401,36.0,4.265399593348692
21,0.6859319076372818,0.3089472870097857,63.139691939330035,33.0,4.2713993386420235
83,0.6793805925838536,0.3955800468803732,61.27102983543688,28.0,4.276878619728047
46,0.8518940020863984,0.14601566827473866,62.06922625279621,41.0,4.278277210314201
94,0.7765163174747723,0.34553974447961744,47.784499038865285,39.0,4.278558771371365
7,0.2266310733547745,0.46372724486367806,28.581873972685784,41.0,4.283437102193165
20,0.10044106885541215,0.2194009845838541,74.73982414000376,15.0,4.2907926835983865
69,0.8997705414094386,0.21040806782607654,38.7432959175487,38.0,4.291522812890486
89,0.9098741640113689,0.4403009161828124,38.66588332889419,46.0,4.299523126679116
68,0.7940701133778583,0.16704184913868178,50.77638757620674,45.0,4.303543354415809
88,0.9755943269253421,0.3197736311785439,34.95323828147109,42.0,4.316753269450168
78,0.9182700275533981,0.3014331448817618,17.539079447746452,40.0,4.328621790458627
76,0.5688813522873634,0.22931628124593856,48.651250327838255,48.0,4.333233081531674
43,0.8391004981090369,0.522928747268022,75.44672063532626,47.0,4.343092605115665
51,0.9966479530334371,0.11658093495141394,77.59185071581747,16.0,4.344997736232825
34,0.5013662509620324,0.24891938544979825,46.02901498452513,44.0,4.3520623797139875
4,0.3662287225251235,0.29203327187035144,27.527162714343813,43.0,4.35550908295887
79,0.829862248732619,0.25803583698793253,41.566351603709194,30.0,4.365275498240269
8,0.654581754496219,0.666699634988514,72.23283642816956,49.0,4.374871712182702
12,0.44699983640988905,0.0869270042267623,26.86513411059591,23.0,4.376270613226041
32,0.721848335643018,0.1388214886485877,54.24436521183461,9.0,4.381713133130311
57,0.9668008182052484,0.1613432185104967,54.24717055868673,19.0,4.391365205505958
10,0.14192736279175344,0.7253899893477148,42.90593649785366,26.0,4.408912322123439
55,0.6924170194059037,0.7488253314532385,23.68990569837578,39.0,4.410519489607917
37,0.9222350510063112,0.5752198923699691,79.98177205838887,46.0,4.4106442799130905
3,0.9691246566391533,0.7452899405250235,43.18723940996316,47.0,4.414761183359364
