,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
78,0.5791815687540756,0.29747529690600005,67.06164705700989,43.0,5.140885626114038
71,0.8221708375164791,0.2856851109835556,76.69511633584584,48.0,5.17329250799782
97,0.504612331697641,0.6443374407375846,42.077782959555705,47.0,5.186696007870475
53,0.8059584786944445,0.48237522212186074,70.89180810687408,50.0,5.1943436062333275
50,0.80802178743429,0.16464967381181267,68.25530468416412,50.0,5.199875251351382
96,0.3934329681254512,0.6063207663369116,70.26014457743452,43.0,5.213345620720371
51,0.9967241994681298,0.2766418868868141,79.46892295637822,40.0,5.22228419255122
68,0.7997761955011972,0.37113835900369585,68.72243381674483,36.0,5.223114035520441
80,0.541322700141714,0.297633742171484,54.54170873911019,34.0,5.223993159799825
69,0.9294917388910489,0.31697125490979833,72.9460538084472,49.0,5.2242849137277645
83,0.7130885395933001,0.5871029275880867,70.57842243114412,42.0,5.228082812323938
58,0.7877782949939252,0.4627649344489479,62.415486876160934,44.0,5.247073314436486
36,0.11859781412047916,0.2802882058984343,34.916063210642136,42.0,5.2492014263633875
29,0.10813494856605366,0.15024306001096077,35.90931240945426,47.0,5.259468447455305
25,0.4152021406002669,0.6345081750599736,55.870244184338134,44.0,5.260899821029702
47,0.24646977700393363,0.32871820417809755,27.528947439122945,37.0,5.264054711137197
87,0.48280252102054244,0.39953549835941704,72.81560636007947,48.0,5.2646189914749595
44,0.12021152916803102,0.17919376890617894,50.59448169013949,47.0,5.265739879708349
61,0.6999842280325659,0.4057938535415415,61.139618801490144,50.0,5.267740959658087
85,0.7784832232921172,0.3296916143084258,51.987824101740266,45.0,5.270570198467594
74,0.8277503476051984,0.5512022096846346,76.90257770820568,49.0,5.275160424431253
90,0.8607014109733114,0.26721357105667476,60.80066269441005,41.0,5.279353082951216
89,0.6787252763673228,0.4193187953303902,45.81389524069569,37.0,5.284904658578663
93,0.531535834021055,0.6972386469266186,79.59042936042661,49.0,5.28539401706007
5,0.45120797422998593,0.5255827915158994,58.42984552843858,45.0,5.285651794147174
23,0.428541265619112,0.6216223856080931,56.84441461134746,45.0,5.2870197752411485
72,0.6884548813612018,0.34785564370462885,68.85199733993248,48.0,5.287773726982352
79,0.5641652920790889,0.44425035203811636,65.61885125003727,39.0,5.287808062081136
65,0.9980971288849985,0.06005207664744777,74.8058182174712,40.0,5.295973292689887
88,0.6332862269493108,0.4508660930175302,63.88105950099541,36.0,5.297113741754037
57,0.6533012589378366,0.6834320808915868,66.92624202925809,46.0,5.298784724561558
73,0.604119685642702,0.6541016230086493,59.484938806199345,46.0,5.299874256873581
30,0.10119526542253268,0.19535842483115334,30.541403682349905,47.0,5.301167042107062
41,0.10225729033332542,0.23765326004327794,44.954957461035576,38.0,5.304740318975957
19,0.262062753017528,0.4674036272566178,47.230937519613356,48.0,5.3059466794254835
66,0.9581965105862836,0.16048326715143252,79.04292195049814,44.0,5.306249497253411
45,0.470418169715328,0.4279913480850157,43.37912060869836,30.0,5.308657184160552
3,0.4801840459852198,0.8293473778169629,65.54094462938063,50.0,5.311481580689178
6,0.4136917967713126,0.3075161159429475,65.29827286060869,31.0,5.3140642674410445
32,0.2267760493989821,0.40778268975001913,15.361371495996956,49.0,5.32314153007139
67,0.8646275198171537,0.2229144670582351,63.90029917906105,46.0,5.323735877915971
77,0.6301247685286993,0.1705714876870811,49.491848084378276,44.0,5.3270280038629005
94,0.882254216785446,0.5407864825228768,78.05297462989179,35.0,5.327305181526656
86,0.5828015473661274,0.3614989775437951,58.06051059545007,31.0,5.332342910008025
24,0.6494820025349882,0.6248913168755156,58.57818259630632,22.0,5.333264345066074
21,0.3632841889066234,0.5944593777495397,56.64011110605409,45.0,5.333718254220181
10,0.8428640275040394,0.6735704719565488,46.412930337702306,39.0,5.335119179471762
17,0.5596200604309223,0.2516586813368365,50.784800190411836,31.0,5.337530216664951
20,0.5997023107530683,0.5580250199867113,25.071664655755676,50.0,5.340709469280058
76,0.6616986527639663,0.7366051936051237,62.280204502838714,47.0,5.350599920953766
60,0.6175351404376469,0.5222577862203506,73.8635589240184,20.0,5.354797298026583
15,0.8260495176427384,0.7735944048817852,66.46257668833705,10.0,5.356539871027066
56,0.9439913336377631,0.4835759981079083,71.93294859493429,49.0,5.358034268256062
82,0.75818442518686,0.2081843122952543,76.8869638951298,27.0,5.3608896402352855
26,0.19601871738377719,0.3521093305284455,13.815150565654847,42.0,5.361766021195435
2,0.6733627206978959,0.41363570089160673,75.59757177785256,39.0,5.362494191683645
14,0.968726783572435,0.7014506987773738,30.244794121063144,33.0,5.3637396383718645
95,0.7396402785697027,0.13975898437722925,54.76838712595237,25.0,5.364925933053232
81,0.44244040811112584,0.38856263819677145,42.898436223727444,43.0,5.365251878241281
28,0.502796430525916,0.5316014008319009,60.058258435333684,26.0,5.370109542578239
55,0.8804918986529976,0.5637635512318668,64.90789011723612,50.0,5.371471314162824
91,0.9731714086780597,0.2359056840268587,74.24641468612407,46.0,5.37514538023564
31,0.15604237542288063,0.18857639808020885,35.723553871291536,42.0,5.377104897675398
34,0.17496440821306647,0.3747767445552711,36.989972678314636,36.0,5.379494508338271
0,0.1279085416320418,0.5308516096110569,62.88013777582093,27.0,5.381352446464659
70,0.7540566990267931,0.25821683107526305,75.7293273059077,43.0,5.385307050492743
11,0.5004581538011196,0.04615672648802194,51.267802203645836,26.0,5.387880525297784
22,0.30644672631332537,0.49076726612510124,31.16169210668847,45.0,5.402511685767677
59,0.8980341810702684,0.8852448120475775,53.985502908320115,33.0,5.408974362143759
39,0.28366756631457934,0.12892885575018215,34.396030278108,48.0,5.420442921615698
9,0.34531689442919844,0.1977741576048573,77.14429940366674,18.0,5.431765536500808
62,0.8473914361716568,0.5917809871952302,68.48716403428301,9.0,5.446471336720195
63,0.7315473700907964,0.5049902151647758,78.02100770950769,18.0,5.449137862867309
84,0.5957083125003613,0.48413057289762657,48.538685950576784,29.0,5.456635273950438
13,0.2676943336442644,0.7529164972251275,40.26224135519898,39.0,5.457050073977906
75,0.9031175758496536,0.10672691675574683,57.01147160139439,38.0,5.457538828290301
52,0.9924192912199948,0.09339137256758034,79.56540819185123,40.0,5.460192795292329
99,0.4752724259429553,0.7627630989146098,18.031812546882698,45.0,5.469753479881791
54,0.806430153358543,0.797791566308029,71.1588155998909,12.0,5.478442474117424
64,0.5224312992038307,0.433569547191905,53.23584935994709,24.0,5.494552461197633
40,0.31318602046799116,0.2565145620506093,19.166344854221336,34.0,5.497622260980036
1,0.21989862517830633,0.06719547230573503,41.30834818580475,41.0,5.500746501204875
27,0.7111383254271777,0.8873725866940053,70.7670212932143,35.0,5.500945812268837
46,0.38587613614696986,0.02283780663701515,38.290290354430255,32.0,5.500965951761078
4,0.8492301528137264,0.4309984709354984,23.294182117996023,36.0,5.503811350687669
49,0.7351987913289388,0.21914118619500064,19.93618092765496,27.0,5.5074452222137245
8,0.914787267522003,0.8409458916052919,75.01067209845927,13.0,5.522953242257698
43,0.3315333507725233,0.30423254854894627,2.503605932932146,43.0,5.530641912315578
48,0.15634864144899457,0.377729489143513,8.86209618409174,21.0,5.53156699757523
98,0.35936068586689696,0.8082880910249693,32.17344601227795,39.0,5.534388292526025
35,0.5689120083015602,0.1364093848319711,47.68004485933963,29.0,5.538793084191895
37,0.10603149894015601,0.2864768935522419,10.934190534178132,23.0,5.5390121001164045
92,0.8347481299517847,0.516001681964313,66.6926063995223,14.0,5.54605760727569
38,0.2311939813233293,0.02441027121688255,23.362924454052592,41.0,5.550127183288818
12,0.933053143925966,0.34217418840155056,75.94567174697397,15.0,5.558966942633415
33,0.37571899030017175,0.12004861546245227,20.512865691469745,38.0,5.588696750126766
16,0.1385556735732012,0.7240931875565195,41.197648647115976,16.0,5.636259092780196
42,0.1976364564821366,0.08995749303086639,25.346026496830728,41.0,5.668728241309771
7,0.9033668353477828,0.8433612574160829,6.0464167609990245,17.0,5.780049119094563
18,0.7674549186259703,0.06697812629946977,5.611284903675452,10.0,6.106984738617422
