,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
74,0.5146706770916589,0.020551475807581793,77.21282804999424,9.0,4.768578522995067
23,0.10966614697081964,0.04661283556800577,40.1249511018727,34.0,4.8436455988690845
37,0.3408042628399163,0.021260432248859613,16.122215406933282,30.0,4.853291872547305
56,0.9994688106378213,0.022549731214352803,62.99403353345791,19.0,4.861313681768054
82,0.6617933842304855,0.12740842629869453,29.814683318707843,42.0,4.864745161330119
72,0.7679142878155042,0.05356835532199415,51.220615533312,24.0,4.866554686653522
24,0.17827583856439055,0.03672799965247625,53.57813975885284,33.0,4.866765488478813
10,0.2768865739428492,0.36679570358153557,30.42507102032288,33.0,4.871867730392397
29,0.46368750881332615,0.03142711925592182,40.74962503250488,35.0,4.877903669975917
61,0.3058210627031069,0.056884022663230754,56.41025903091309,30.0,4.884479514170447
26,0.19565400449335718,0.04529371600536078,73.95012311312281,34.0,4.886718152191987
67,0.823831776172853,0.025604403785620677,77.40316458190209,27.0,4.894427031210571
65,0.9745077531271018,0.026338535094089403,73.59543779995207,17.0,4.900742933171625
32,0.33471191551110696,0.46386196523765055,78.8571131102751,36.0,4.901540946247163
30,0.33759544997754254,0.08041337461542487,52.398622467082646,25.0,4.92478038773262
99,0.29768532525635494,0.12267604984064398,31.846225154805953,48.0,4.928630714870345
59,0.4107846750541519,0.2812919626238478,46.046512587840034,50.0,4.941359447763009
43,0.3104105806801388,0.10780383882256456,33.80728439287761,37.0,4.9415331137848
92,0.10429742700222944,0.020330474823817012,8.964820216825657,20.0,4.942501615518078
22,0.11715860862489652,0.32485214442476645,44.662384280247956,33.0,4.946611869148717
25,0.17883251117145754,0.031913128506206735,54.6143896572321,42.0,4.964046908119149
55,0.15207594229038562,0.16140320589264887,42.92120619157395,37.0,4.993617325910346
84,0.3818800041053914,0.042823034533084996,34.35613654800867,34.0,5.001638190532876
20,0.4194817765938642,0.3392828890499491,47.07919838660185,48.0,5.005113682501049
81,0.6176062646581513,0.08273791408703991,15.392055259466972,38.0,5.022413584493407
18,0.7040409993257152,0.14581869308777662,47.206608123726696,45.0,5.022657054810425
12,0.9273649559883616,0.37011778167693354,58.01162508261954,48.0,5.023225368422557
15,0.5609404586330645,0.2457390806635905,79.50723666749472,38.0,5.02612225062041
71,0.48130431246813166,0.09495167200340388,68.96647222379504,32.0,5.02967522994774
64,0.7382012409069605,0.640621812425457,40.02027854418807,23.0,5.031776963720206
34,0.2208967869565227,0.08581845333646053,72.25153797418221,41.0,5.0416602936734645
35,0.8981852796133334,0.2882438981458004,36.385868072731434,45.0,5.052253821701997
89,0.23529663871811887,0.6006649472183986,65.83566649723818,44.0,5.054863645863391
62,0.1807374337081061,0.3181557018352757,49.0043557177821,34.0,5.056993115107506
93,0.20065396249752315,0.279240667003181,37.89638565041673,38.0,5.0575873349249365
90,0.1338426011008322,0.09923546584805697,68.7938213437845,28.0,5.063421089743458
60,0.12110016499022014,0.11174910750798295,58.72767749334411,39.0,5.065900612838963
70,0.7015949589921465,0.1317018737024072,71.25250923929447,11.0,5.07058550020973
27,0.38856560603596657,0.08206217955857006,38.94093918118683,25.0,5.072078494639806
33,0.10219544251274339,0.18275039649843203,66.70332174492378,31.0,5.072626658746307
4,0.6820638578196806,0.7316391165153883,62.14190710715811,13.0,5.0823084982648385
21,0.4031181907570147,0.38166687747590017,31.852263745640318,44.0,5.083646079924313
53,0.4413172199912155,0.40915684246877665,36.06075040363115,27.0,5.086961442440762
80,0.4717702657157029,0.30925517735223274,77.79350808041039,27.0,5.092143950556314
2,0.2915506683557657,0.17842180142054664,67.7231144103389,30.0,5.0929359176209195
42,0.2556120232400203,0.5201862637172718,29.253849507935442,23.0,5.102159040992412
76,0.5383992170425118,0.26465096788639186,55.66677425668946,29.0,5.116321925805215
97,0.2670958823844496,0.0752183186030745,76.07459450530018,35.0,5.130967858934508
5,0.5338592932614513,0.3885686751563276,26.961382282778207,37.0,5.132187579553283
11,0.9779526726398556,0.24546956481862678,48.79778436966978,28.0,5.134871511701135
57,0.21049195833450038,0.7012629389219609,32.13310223686768,35.0,5.135742851669155
98,0.5835831756935494,0.16177032637805727,19.387788740526453,26.0,5.137015267928107
17,0.2736621458819394,0.6837546195121001,23.647696248513512,28.0,5.13998938646158
73,0.6128118870326277,0.15510250629951675,38.31681030658294,17.0,5.1511638390348224
48,0.24223365448910314,0.49652524055092884,25.076106428041975,43.0,5.155858459354416
66,0.99202262278329,0.10577336948017406,64.50438147461382,12.0,5.15750722770722
69,0.9293079428605757,0.1766817459332792,61.17269363535034,14.0,5.164522012031389
1,0.8268050715267854,0.8025545730877318,67.44747732638355,10.0,5.1673448557714705
19,0.15427584383746418,0.11894922414961417,40.17864501616332,19.0,5.167347097893333
79,0.5785650359873984,0.17300391798098308,22.818666017653463,33.0,5.175390990964688
31,0.2225215439640757,0.24923890500336104,60.01926998358168,32.0,5.179549432161139
68,0.6466368470663739,0.22284068742690255,63.79806216778085,19.0,5.182921830458479
38,0.4819464329406565,0.30009564078827344,15.056500547698576,12.0,5.191174956790897
3,0.27465878838812974,0.4297649053400727,34.92499467492784,21.0,5.1963829145269
50,0.5597485899219444,0.13667168125835316,43.73800736901528,21.0,5.198517307983844
44,0.3749036479940076,0.626125593298474,18.390182668921046,50.0,5.1996344459498545
85,0.4991449385259715,0.4986698717739459,42.076833586647744,22.0,5.210284002578448
28,0.11879891340517443,0.20666886887199004,53.344958830846856,40.0,5.221165157073539
96,0.7073766183286638,0.33345940609847435,48.100113176475894,16.0,5.225434074595446
