,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
59,0.36717092605977936,0.6765505029326334,9.901729421748405,46.0,1.9533902535680943
72,0.9173823873174578,0.2624508319300223,21.721728948492455,23.0,1.9546436761340964
78,0.2369618771037512,0.3453643766518215,12.657114382891045,14.0,1.9575639281486816
8,0.7078814717668613,0.283685591254559,18.150833849496234,15.0,1.961981348484976
73,0.9160174389713118,0.25891694220043154,18.46927578633914,28.0,1.963092714386198
29,0.8522172420041848,0.1847506620565373,16.76107857743283,19.0,1.9649917022411165
24,0.32630995296754106,0.18750465197898097,12.06613926310979,34.0,1.9709216575607456
30,0.9965250668683511,0.2514151944898658,19.988705205241285,19.0,1.9714302076420485
93,0.42537027291780305,0.15087921081592348,21.524831842025055,22.0,1.974109729141098
9,0.2663477111540644,0.30201336772003473,46.044578094636435,35.0,1.9782097879036806
97,0.38694971624918173,0.600859738972588,25.445342817933366,34.0,1.9808959761770373
19,0.1617269826191033,0.24218075853205567,25.517810065066673,8.0,1.9836696616510459
80,0.1306400242829337,0.6121674989373417,11.625028113958749,36.0,1.9838545804649177
71,0.3058132953077764,0.23541994396894816,34.60568282226373,25.0,1.9844346905184151
67,0.1643501679534662,0.2782627893778994,26.07844821145769,35.0,1.9863893700953392
88,0.3057824776813344,0.4144935767148047,48.064562803518825,18.0,1.9892610100956036
64,0.448059136398114,0.5099102046525028,31.986663009825108,45.0,1.989927875446933
7,0.7266415649260914,0.4883187281680202,29.106077658455956,43.0,1.9915258618416716
27,0.5602541656495085,0.35837324310761376,12.544590817988468,31.0,1.9915622130556503
68,0.363039227668563,0.329847923260841,7.052344199572152,20.0,1.9919237269028918
96,0.4721917493439475,0.6446661922559662,10.706394976053906,37.0,1.9940209264251563
34,0.8202567610370372,0.17334837925781574,33.67148089311608,13.0,1.9956978923306317
62,0.22568832120567167,0.743279470445186,44.76465051631965,38.0,1.9986193000789263
49,0.9807322492337083,0.12915819043916824,49.86253220047356,16.0,1.9994888566415994
20,0.6399148122347019,0.3461536369178602,45.75005955060015,36.0,1.9995324840001367
60,0.10370175347758637,0.6763940285578363,9.027529457880872,47.0,1.9998318568006284
79,0.16747112985469648,0.35007657584189156,2.515338616769559,44.0,2.0015382691472974
54,0.5246144612689548,0.37451616576133195,37.30630180655612,33.0,2.0016354796761195
37,0.7902377016403633,0.14560313975219136,41.131627004159256,15.0,2.001847468859106
42,0.5869619020746524,0.40117731677966384,17.755752934514494,13.0,2.002788278736226
13,0.4404763937888393,0.10529275999928588,75.96877454676765,28.0,2.0031925235414514
35,0.8991164061689518,0.2450124488442985,3.294459475284169,24.0,2.0033495762904345
28,0.9038861708815525,0.10169592538777845,5.943772096422489,37.0,2.0037942022168966
84,0.36193650374174186,0.5681853273667848,19.772757442851447,12.0,2.0040663356904393
95,0.10221007954094075,0.2918795785932849,60.171221846896906,41.0,2.0068118505886225
99,0.2530377151858142,0.5185514327525659,69.60820936767306,9.0,2.007097821190042
6,0.8217557472875362,0.7702180455290591,7.3152405514050285,33.0,2.0084798243747066
76,0.5747625214082925,0.5140213558260397,42.62020950076868,9.0,2.0092053981545632
44,0.5986246985144218,0.06323258081716152,8.978437900067352,14.0,2.009797416016304
26,0.6342369476182537,0.19464566655131219,7.301938790138589,10.0,2.0098770458618636
10,0.26113348764425404,0.7426569363347225,19.744142862811092,12.0,2.0099895672278176
39,0.735203383936165,0.627335623205467,17.417839858980027,11.0,2.012172810016518
51,0.6720185667124674,0.210516639991894,79.92606942983363,24.0,2.0143053580447274
94,0.5149237453631366,0.37149454722877356,18.74208785614374,31.0,2.015222370299903
32,0.7139945058714353,0.4013169826460423,16.729096100732733,20.0,2.016934151153468
45,0.6782090466665138,0.4775997765989964,31.62485927930704,22.0,2.0171232613041017
41,0.9477682461215138,0.6869814820964606,28.921887247537658,26.0,2.0174898771623453
57,0.6035650235161163,0.5973264489921879,23.151390998221167,12.0,2.017561415597263
52,0.8415785859382483,0.5352479396393798,55.82278035753047,10.0,2.0176757656992232
70,0.6327759015627846,0.3826995864351239,30.20104607152389,21.0,2.0180473665607055
53,0.9374934088845187,0.0790766872059671,14.777136114165877,27.0,2.0182015900327657
85,0.2758364631668028,0.20988194003800165,30.56284935507485,33.0,2.0187103983386523
91,0.3472535943172472,0.10289878681659795,27.167652800344175,16.0,2.0191622284321817
90,0.3809950806732989,0.33301743743277556,13.544799780721382,23.0,2.0201256037518314
74,0.545929900507103,0.4280207346080029,39.32944730529113,30.0,2.020550985257151
69,0.4078699382712585,0.716076877072227,14.331702354366973,39.0,2.0213351114927804
4,0.7825644768064821,0.5291836577462355,70.87603046384262,14.0,2.0216431408850752
31,0.8541230363707397,0.06987756982416493,32.97694247578733,10.0,2.023144524503409
23,0.2643152156909648,0.3608828703920607,44.14667146770022,45.0,2.0258661908207434
33,0.9696829728721856,0.2903845366075733,28.129099991185377,17.0,2.026043939576456
92,0.3142266921427508,0.5433547494017862,4.159972811805291,48.0,2.0264955045791537
11,0.7687064077901431,0.4359888398546295,0.6565750511200414,40.0,2.0274893929141404
36,0.675960626261795,0.4933456086735185,25.022655857897714,8.0,2.02810353311902
61,0.39721343156917266,0.8595398096788511,21.27017360893017,42.0,2.028540865047393
0,0.8713289603149068,0.2506661787460409,13.496070832112194,13.0,2.028933093922496
43,0.7782136374157879,0.22130973418373476,23.722927555234584,18.0,2.0293077733486444
15,0.4047844347530114,0.6164778267219029,61.06274226843799,16.0,2.0295301844934364
48,0.8048696797063175,0.2755259802401564,66.4919440977034,30.0,2.030034091593171
66,0.485959020130338,0.5672484897987631,11.620964099684683,32.0,2.0309844136827175
58,0.7045610985701435,0.15221967747599735,1.0278041879211024,18.0,2.0312806727501487
55,0.7507106651336114,0.4523652517148956,5.343816719994315,22.0,2.031362756792083
2,0.7062944929141963,0.2840293327299359,66.46580444359101,21.0,2.0320672310591927
1,0.9658268837098648,0.8410676495777427,29.24707926187873,22.0,2.0373610722407194
75,0.45988535787684487,0.47002640900555,23.879659216006345,50.0,2.03741629143272
14,0.2674906456166892,0.547338404840294,22.44035887743407,26.0,2.0377947981293048
89,0.13285044892298112,0.857628199763532,15.63808734354387,11.0,2.0378779364136
87,0.19616184785701882,0.49247235365375064,8.177104673094787,25.0,2.0394771832067895
86,0.24546589499501054,0.7152543951646073,36.1301805785869,27.0,2.0403170520227834
50,0.8858339846938899,0.4167188424131688,20.099494460183905,41.0,2.04045084043421
65,0.2914069012563073,0.6586219977232575,15.374461763394322,29.0,2.0405031166161236
77,0.9981767201094403,0.792634039067641,10.016424802863103,23.0,2.0436511735334157
81,0.22712444961440204,0.30362029918894096,0.6682533709712111,14.0,2.04475994118343
83,0.4170921177072168,0.45569358992073156,5.702916624180361,17.0,2.0448890985275963
63,0.33464643120938403,0.817695643310337,4.032854854037041,47.0,2.046350198339195
12,0.3747526512009838,0.039681002178356725,47.753563331218594,49.0,2.046494240980269
3,0.5444603012793958,0.5426117835992232,56.89512589639367,39.0,2.0480217091782613
