feature_shap,feature
0.99543,rougher.input.feed_fe
0.70148,primary_cleaner.input.copper_sulfate
0.48664,value__maximum_p6_rougher.input.feed_fe
0.48463,encod_val_primary_cleaner.input.feed_size
0.31578,deriv1_rougher.input.feed_zn
0.20028,value__minimum_p6_rougher.input.floatbank11_xanthate
0.19476,secondary_cleaner.state.floatbank2_a_air
0.18725,encod_dif_rougher.input.feed_pb
0.17759,value__quantile__q_0.95_p24_rougher.input.feed_fe
0.17470,encod_val_primary_cleaner.input.copper_sulfate
0.17075,diff_rougher.input.feed_zn_s2b0
0.16903,deriv1_primary_cleaner.input.xanthate
0.14832,value__quantile__q_0.95_p24_primary_cleaner.state.floatbank8_a_air
0.14749,value__quantile__q_0.95_p120_rougher.input.feed_fe
0.14678,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.14644,value__quantile__q_0.95_p120_primary_cleaner.state.floatbank8_a_air
0.12841,diff_primary_cleaner.input.xanthate_s2b0
0.12643,deriv1_rougher.input.feed_pb
0.11986,encod_val_rougher.input.feed_fe
0.11979,secondary_cleaner.state.floatbank3_a_air
0.11701,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.11546,encod_rel_primary_cleaner.input.copper_sulfate
0.11278,encod_rel_rougher.input.feed_pb
0.10774,encod_val_rougher.input.feed_pb
0.09859,encod_val_primary_cleaner.input.xanthate
0.09791,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.09134,value__kurtosis_p120_secondary_cleaner.state.floatbank5_a_air
0.09084,deriv1_rougher.input.floatbank10_xanthate
0.08832,value__quantile__q_0.95_p120_rougher.state.floatbank10_b_air
0.08600,value__quantile__q_0.95_p12_primary_cleaner.input.depressant
0.08541,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.08488,rougher.input.feed_zn
0.08446,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.08427,value__quantile__q_0.95_p120_primary_cleaner.input.xanthate
0.08396,diff_rougher.input.floatbank10_xanthate_s2b0
0.08322,diff_encod_val_rougher.input.feed_pb_s2b0
0.07957,rougher.input.floatbank10_xanthate
0.07773,secondary_cleaner.state.floatbank5_b_air
0.07522,value__mean_p6_rougher.input.floatbank11_xanthate
0.07243,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.07179,secondary_cleaner.state.floatbank2_b_air
0.07154,value__quantile__q_0.05_p12_primary_cleaner.state.floatbank8_a_air
0.06969,value__maximum_p6_primary_cleaner.state.floatbank8_a_air
0.06569,value__min_slope_p6_rougher.input.feed_rate
0.06556,encod_val_primary_cleaner.input.depressant
0.06530,value__mean_p6_rougher.input.feed_fe
0.06520,primary_cleaner.input.xanthate_normalized
0.06403,rougher.state.floatbank10_c_air
0.06394,value__min_slope_p120_primary_cleaner.input.feed_size
0.06364,value__quantile__q_0.05_p24_primary_cleaner.state.floatbank8_a_air
0.06207,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.06042,value__mean_abs_change_p120_rougher.input.floatbank10_copper_sulfate
0.06031,value__linear_trend__attr_slope_p120_primary_cleaner.input.feed_size
0.05786,primary_cleaner.state.floatbank8_b_level
0.05639,deriv1_primary_cleaner.state.floatbank8_c_level
0.05495,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.05436,rel_primary_cleaner.input.xanthate_s3b0
0.05420,rougher.input.feed_zn_normalized
0.05140,value__quantile__q_0.05_p24_secondary_cleaner.state.floatbank5_a_air
0.05139,rel_primary_cleaner.input.depressant_s3b0
0.04924,primary_cleaner.input.depressant_normalized
0.04871,value__maximum_p6_rougher.input.feed_rate
0.04723,diff_rougher.input.feed_rate_s3b1
0.04628,primary_cleaner.state.floatbank8_d_level
0.04572,encod_dif_primary_cleaner.input.copper_sulfate
0.04571,rougher.input.feed_size
0.04409,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.04354,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.04351,value__mean_p6_primary_cleaner.state.floatbank8_a_air
0.04347,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.04325,diff_rougher.input.floatbank11_xanthate_s2b0
0.04322,value__mean_p6_rougher.input.feed_pb
0.04238,value__quantile__q_0.05_p120_primary_cleaner.input.xanthate
0.04089,value__max_min_diff_p120_rougher.state.floatbank10_b_air
0.04074,primary_cleaner.state.floatbank8_c_air
0.03973,deriv1_encod_val_rougher.input.feed_zn
0.03966,rel_rougher.input.feed_zn_s3b0
0.03957,primary_cleaner.state.floatbank8_b_air
0.03950,rougher.state.floatbank10_d_air
0.03872,value__mean_abs_change_p12_primary_cleaner.input.depressant
0.03870,secondary_cleaner.state.floatbank3_b_air
0.03810,value__maximum_p6_rougher.input.floatbank11_xanthate
0.03710,encod_val_rougher.input.feed_zn
0.03674,value__quantile__q_0.95_p24_primary_cleaner.input.depressant
0.03613,value__min_slope_p120_rougher.input.feed_sol
0.03598,value__quantile__q_0.95_p120_rougher.input.floatbank11_xanthate
0.03529,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.03517,rel_rougher.state.floatbank10_c_level_s3b0
0.03511,value__mean_abs_change_p24_rougher.input.feed_rate
0.03501,encod_dif_primary_cleaner.state.floatbank8_a_level
0.03425,value__min_slope_p120_primary_cleaner.input.xanthate
0.03395,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.03392,primary_cleaner.state.floatbank8_a_level
0.03364,value__minimum_p6_secondary_cleaner.state.floatbank5_a_air
0.03352,diff_primary_cleaner.input.depressant_s2b0
0.03348,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.03263,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.03261,rougher.state.floatbank10_e_air
0.03237,daily_avg_final
0.03211,value__quantile__q_0.05_p120_rougher.input.feed_rate
0.03198,secondary_cleaner.state.floatbank4_a_air
0.03164,diff_rougher.input.feed_pb_s2b0
0.03161,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.03102,value__min_slope_p24_secondary_cleaner.state.floatbank5_a_air
0.03072,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.03071,value__mean_abs_change_p120_primary_cleaner.input.xanthate
0.03065,deriv1_encod_rel_rougher.input.feed_zn
0.03054,deriv1_primary_cleaner.input.copper_sulfate
0.03040,value__max_slope_p120_primary_cleaner.input.feed_size
0.03009,value__maximum_p6_primary_cleaner.input.copper_sulfate
0.02982,encod_rel_primary_cleaner.state.floatbank8_a_level
0.02971,value__kurtosis_p24_secondary_cleaner.state.floatbank5_a_air
0.02918,value__quantile__q_0.95_p12_secondary_cleaner.state.floatbank5_a_air
0.02900,deriv1_rougher.input.floatbank11_xanthate
0.02864,value__fft_aggregated__aggtype_variance_p120_primary_cleaner.input.depressant
0.02831,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.02786,deriv2_primary_cleaner.input.copper_sulfate
0.02776,rougher.state.floatbank10_f_air
0.02758,value__quantile__q_0.05_p120_primary_cleaner.state.floatbank8_a_air
0.02734,value__quantile__q_0.95_p120_primary_cleaner.input.depressant
0.02730,primary_cleaner.state.floatbank8_a_air
0.02725,primary_cleaner.input.feed_size
0.02714,diff_encod_val_rougher.input.feed_zn_s2b0
0.02685,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.02669,value__max_slope_p24_primary_cleaner.state.floatbank8_a_air
0.02662,value__minimum_p6_rougher.input.feed_pb
0.02639,value__maximum_p6_primary_cleaner.input.depressant
0.02629,diff_primary_cleaner.input.copper_sulfate_s2b0
0.02623,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.02610,encod_dif_rougher.input.feed_zn
0.02609,value__kurtosis_p120_rougher.input.feed_pb
0.02600,value__min_slope_p12_primary_cleaner.input.depressant
0.02587,encod_dif_primary_cleaner.input.depressant
0.02571,rougher.input.floatbank11_xanthate
0.02531,value__quantile__q_0.05_p24_primary_cleaner.input.xanthate
0.02523,value__quantile__q_0.95_p120_primary_cleaner.input.feed_size
0.02492,secondary_cleaner.state.floatbank4_b_air
0.02486,value__skewness_p120_secondary_cleaner.state.floatbank5_a_air
0.02469,value__quantile__q_0.95_p120_rougher.input.feed_sol
0.02467,value__quantile__q_0.05_p12_secondary_cleaner.state.floatbank5_a_air
0.02455,value__quantile__q_0.95_p120_secondary_cleaner.state.floatbank5_a_air
0.02443,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.02416,value__max_min_diff_p120_rougher.input.feed_sol
0.02410,deriv2_rougher.input.feed_pb
0.02407,value__mean_abs_change_p120_primary_cleaner.input.feed_size
0.02384,encod_val_primary_cleaner.state.floatbank8_a_level
0.02369,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.02361,value__mean_abs_change_p120_rougher.input.feed_pb
0.02355,deriv2_encod_rel_rougher.input.feed_zn
0.02333,value__quantile__q_0.95_p12_primary_cleaner.state.floatbank8_a_air
0.02329,rougher.input.feed_pb_normalized
0.02325,value__max_slope_p6_rougher.input.feed_rate
0.02279,value__skewness_p120_primary_cleaner.input.feed_size
0.02279,secondary_cleaner.state.floatbank2_a_level
0.02264,value__quantile__q_0.05_p24_primary_cleaner.input.depressant
0.02255,rel_encod_val_rougher.input.feed_pb_s3b0
0.02234,value__minimum_p6_primary_cleaner.input.copper_sulfate
0.02223,secondary_cleaner.state.floatbank5_b_level
0.02186,value__linear_trend__attr_slope_p120_primary_cleaner.state.floatbank8_a_air
0.02161,value__fft_aggregated__aggtype_centroid_p12_primary_cleaner.input.copper_sulfate
0.02119,value__maximum_p6_rougher.input.feed_pb
0.02113,primary_cleaner.input.copper_sulfate_normalized
0.02071,value__quantile__q_0.95_p24_primary_cleaner.input.xanthate
0.02071,value__skewness_p24_rougher.input.feed_rate
0.02070,value__kurtosis_p120_rougher.input.feed_sol
0.02063,value__max_slope_p120_rougher.input.feed_sol
0.02060,value__max_min_diff_p24_rougher.input.feed_pb
0.02049,deriv1_encod_rel_rougher.input.feed_fe
0.02044,value__skewness_p120_rougher.input.feed_rate
0.02044,value__mean_abs_change_p120_primary_cleaner.input.depressant
