feature_shap,feature
1.02667,rougher.input.feed_fe
0.77612,rougher.state.floatbank10_a_level
0.77433,rougher.state.floatbank10_a_air
0.46938,encod_val_rougher.input.feed_fe
0.46512,value__quantile__q_0.95_p24_rougher.input.feed_fe
0.40061,rougher.state.floatbank10_c_air
0.28702,encod_val_rougher.input.feed_zn
0.24263,rougher.input.feed_sol
0.24064,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.23123,value__quantile__q_0.95_p120_rougher.input.feed_fe
0.21244,encod_val_rougher.input.feed_pb
0.16940,rougher.state.floatbank10_d_air
0.14612,deriv1_rougher.input.feed_zn
0.14160,value__quantile__q_0.95_p24_rougher.input.feed_sol
0.13194,value__max_min_diff_p120_rougher.input.feed_pb
0.12749,value__mean_p6_rougher.input.feed_fe
0.12199,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.11714,value__quantile__q_0.95_p120_rougher.state.floatbank10_b_air
0.11133,rougher.input.floatbank10_xanthate
0.10808,deriv1_rougher.input.floatbank10_xanthate
0.10687,value__quantile__q_0.95_p120_rougher.input.floatbank11_xanthate
0.09936,value__quantile__q_0.95_p120_rougher.input.feed_sol
0.09502,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.09002,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.08996,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.08891,value__quantile__q_0.95_p120_rougher.input.floatbank10_copper_sulfate
0.08162,rougher.input.feed_rate
0.07886,value__quantile__q_0.05_p120_rougher.state.floatbank10_b_air
0.07736,value__maximum_p6_rougher.input.feed_sol
0.07686,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.07526,encod_dif_rougher.input.feed_pb
0.07340,value__max_min_diff_p120_rougher.state.floatbank10_b_air
0.07293,value__linear_trend__attr_slope_p120_rougher.input.floatbank11_xanthate
0.07292,value__max_slope_p120_rougher.input.feed_zn
0.07218,diff_encod_val_rougher.input.feed_pb_s2b0
0.07212,value__quantile__q_0.05_p120_rougher.input.feed_fe
0.07115,encod_rel_rougher.input.feed_pb
0.06997,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.06727,rougher.state.floatbank10_b_air
0.06632,rougher.state.floatbank10_f_air
0.06232,rougher.input.feed_size
0.06228,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.06195,daily_avg_rougher
0.06102,value__mean_abs_change_p120_rougher.input.floatbank10_copper_sulfate
0.05998,rougher.input.feed_zn
0.05901,value__minimum_p6_rougher.input.floatbank11_xanthate
0.05894,value__minimum_p6_rougher.state.floatbank10_b_air
0.05817,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.05769,hour
0.05639,value__mean_abs_change_p120_rougher.input.floatbank11_xanthate
0.05572,value__mean_p6_rougher.input.floatbank11_xanthate
0.05551,diff_rougher.input.floatbank10_xanthate_s2b0
0.05536,value__max_slope_p120_rougher.input.feed_pb
0.05501,value__min_slope_p24_rougher.input.feed_zn
0.05487,value__max_slope_p120_rougher.input.feed_fe
0.05319,value__linear_trend__attr_slope_p24_rougher.input.feed_fe
0.05072,value__min_slope_p6_rougher.input.feed_sol
0.05016,deriv1_encod_val_rougher.input.feed_zn
0.04973,value__min_slope_p120_rougher.state.floatbank10_b_air
0.04770,value__mean_abs_change_p120_rougher.state.floatbank10_b_air
0.04547,diff_rougher.input.feed_rate_s3b1
0.04502,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.04426,diff_rougher.state.floatbank10_c_level_s2b0
0.04370,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.04274,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.04259,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.04250,value__max_min_diff_p120_rougher.input.feed_zn
0.04244,value__maximum_p6_rougher.input.feed_rate
0.04059,rougher.input.feed_sol_normalized
0.03913,value__skewness_p120_rougher.input.feed_sol
0.03890,encod_rel_rougher.input.feed_fe
0.03885,diff_rougher.input.feed_fe_s3b1
0.03853,value__max_min_diff_p120_rougher.input.feed_sol
0.03816,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.03758,value__mean_abs_change_p120_rougher.input.feed_pb
0.03699,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.03681,value__skewness_p120_rougher.input.feed_zn
0.03657,deriv1_rougher.input.floatbank11_xanthate
0.03653,value__maximum_p6_rougher.input.floatbank11_xanthate
0.03617,value__skewness_p120_rougher.input.feed_fe
0.03606,diff_rougher.input.feed_zn_s2b0
0.03590,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.03568,value__quantile__q_0.95_p12_rougher.input.feed_sol
0.03549,rel_encod_val_rougher.input.feed_pb_s3b0
0.03526,value__max_slope_p24_rougher.input.floatbank10_copper_sulfate
0.03507,value__kurtosis_p120_rougher.input.feed_sol
0.03443,rougher.state.floatbank10_e_air
0.03381,value__mean_p6_rougher.input.feed_sol
0.03352,deriv1_encod_val_rougher.input.feed_pb
0.03346,encod_rel_rougher.input.feed_zn
0.03345,value__max_min_diff_p120_rougher.input.floatbank11_xanthate
0.03257,value__quantile__q_0.05_p120_rougher.input.feed_pb
0.03153,value__maximum_p6_rougher.input.feed_pb
0.03146,value__min_slope_p120_rougher.input.feed_rate
0.03090,value__minimum_p6_rougher.input.feed_sol
0.03032,value__skewness_p120_rougher.input.floatbank10_copper_sulfate
0.03005,value__min_slope_p120_rougher.input.floatbank11_xanthate
0.03000,value__quantile__q_0.05_p120_rougher.input.feed_zn
0.02964,diff_encod_val_rougher.input.feed_fe_s2b0
0.02962,value__kurtosis_p120_rougher.input.feed_pb
0.02948,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.02900,deriv1_encod_val_rougher.input.feed_fe
0.02839,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.02794,rougher.state.floatbank10_b_level
0.02793,value__maximum_p6_rougher.input.feed_fe
0.02770,value__max_min_diff_p120_rougher.input.feed_rate
0.02769,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.02721,value__mean_abs_change_p24_rougher.input.feed_pb
0.02700,value__mean_p6_rougher.input.feed_rate
0.02677,value__kurtosis_p120_rougher.input.feed_rate
0.02670,rel_encod_val_rougher.input.feed_fe_s3b0
0.02634,rel_rougher.state.floatbank10_c_level_s3b0
0.02623,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.02619,value__max_slope_p12_rougher.input.floatbank11_xanthate
0.02565,deriv1_rougher.state.floatbank10_c_level
0.02559,value__quantile__q_0.05_p120_rougher.input.feed_rate
0.02555,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.02551,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.02549,rougher.input.feed_pb
0.02545,value__quantile__q_0.95_p24_rougher.input.floatbank10_copper_sulfate
0.02533,value__linear_trend__attr_slope_p120_rougher.state.floatbank10_b_air
0.02523,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.02498,value__min_slope_p120_rougher.input.feed_pb
0.02496,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.02478,value__max_slope_p120_rougher.state.floatbank10_b_air
0.02453,diff_encod_val_rougher.input.feed_zn_s2b0
0.02428,deriv2_rougher.input.feed_zn
0.02407,value__min_slope_p12_rougher.input.floatbank10_copper_sulfate
0.02338,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.02330,value__skewness_p120_rougher.state.floatbank10_b_air
0.02307,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.02268,rougher.input.feed_zn_normalized
0.02237,encod_dif_rougher.input.feed_fe
0.02230,rougher.input.floatbank11_xanthate
0.02224,value__quantile__q_0.05_p24_rougher.input.floatbank10_copper_sulfate
0.02136,value__linear_trend__attr_slope_p120_rougher.input.feed_sol
0.02101,value__max_slope_p120_rougher.input.feed_sol
0.02089,value__max_min_diff_p120_rougher.input.feed_fe
0.02066,value__fft_aggregated__aggtype_skew_p120_rougher.state.floatbank10_b_air
0.02061,value__fft_aggregated__aggtype_centroid_p120_rougher.state.floatbank10_b_air
0.02054,value__linear_trend__attr_slope_p120_rougher.input.feed_rate
0.02042,value__kurtosis_p120_rougher.input.floatbank10_copper_sulfate
0.02022,value__mean_abs_change_p24_rougher.input.feed_zn
0.02007,value__minimum_p6_rougher.input.feed_rate
0.01991,value__max_slope_p12_rougher.input.feed_zn
0.01979,rougher.state.floatbank10_d_level
0.01961,value__max_min_diff_p24_rougher.state.floatbank10_b_air
0.01935,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.01927,value__fft_aggregated__aggtype_kurtosis_p120_rougher.input.feed_fe
0.01920,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.01919,value__min_slope_p24_rougher.state.floatbank10_b_air
0.01875,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.01845,value__linear_trend__attr_slope_p12_rougher.input.feed_fe
0.01828,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.01824,value__mean_abs_change_p120_rougher.input.feed_sol
0.01810,value__mean_abs_change_p120_rougher.input.feed_fe
0.01776,value__fft_aggregated__aggtype_kurtosis_p120_rougher.state.floatbank10_b_air
0.01775,value__skewness_p120_rougher.input.floatbank11_xanthate
0.01759,value__mean_abs_change_p6_rougher.input.floatbank10_copper_sulfate
0.01749,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.01748,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_zn
0.01686,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.01643,value__max_slope_p120_rougher.input.feed_rate
0.01637,value__mean_p6_rougher.state.floatbank10_b_air
0.01636,value__skewness_p120_rougher.input.feed_rate
0.01607,value__mean_abs_change_p24_rougher.state.floatbank10_b_air
0.01586,encod_dif_rougher.input.feed_zn
0.01573,value__kurtosis_p120_rougher.input.feed_zn
0.01573,value__kurtosis_p12_rougher.input.feed_rate
0.01568,rel_rougher.input.feed_rate_s3b0
0.01555,value__quantile__q_0.95_p24_rougher.input.feed_zn
0.01542,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_pb
0.01529,value__min_slope_p120_rougher.input.feed_fe
0.01505,value__linear_trend__attr_slope_p120_rougher.input.feed_fe
0.01502,deriv1_rougher.input.feed_pb
0.01478,value__max_slope_p24_rougher.input.feed_zn
0.01465,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.01461,value__fft_aggregated__aggtype_variance_p120_rougher.state.floatbank10_b_air
0.01461,value__min_slope_p24_rougher.input.feed_fe
