,bagging_fraction,feature_fraction,lambda_l1,num_leaves,loss
40,0.33716908133501133,0.36123736078045743,72.04262824196189,7.0,1.8812951468044863
56,0.8507350525865505,0.3364036863268853,46.929020788884785,7.0,1.8900452166087307
68,0.8601938338171293,0.49671097854834745,31.678167736307444,11.0,1.896199310535702
79,0.5721596705969456,0.3910018820298107,31.49011546914672,15.0,1.896974510851309
63,0.9727505593707675,0.4203241209553301,44.70008529058187,8.0,1.8976820534685535
42,0.32862810505205914,0.3687207295563931,65.36905141108778,9.0,1.9013042170378018
22,0.4309800766384494,0.5579737569467718,67.09380396087244,15.0,1.9050546152138996
20,0.2657594791727428,0.5709308145356563,74.7124421816079,15.0,1.908473656115085
5,0.154810341130673,0.6900783793192008,25.845375965821276,14.0,1.9117331764363594
81,0.9088625256197105,0.35558457582118236,59.301455953124155,23.0,1.9129204022588084
96,0.7479840138623282,0.3720625256461428,50.27316029137225,11.0,1.9133351718131983
75,0.8057406511432961,0.4452490741779834,35.733918300993345,10.0,1.914916278903385
48,0.1308951976299035,0.43722595392824937,64.41111467294608,11.0,1.9151955777127543
64,0.7654174710743461,0.33676288505221985,46.393881842151714,19.0,1.9244618610195128
91,0.950143669846734,0.401167422897803,56.4866471894526,18.0,1.9248976879584299
28,0.3664176978028328,0.46520997133884456,60.78551102978106,9.0,1.9251395283322468
24,0.3090838570512113,0.476826046954408,68.69978626215239,16.0,1.9277649946889654
21,0.29702318748998724,0.5362868954626399,78.84207296264177,14.0,1.9295797955919514
61,0.6823588226304025,0.2063422829678393,40.91913891517795,13.0,1.9303376422728193
26,0.49974599511244755,0.5730037752249416,62.023514568431146,25.0,1.931599285394701
95,0.5943819811255819,0.5945329659627323,39.0988005747561,22.0,1.935929780031666
67,0.83521522337523,0.3072635826816083,37.75407463885308,17.0,1.936207595222519
84,0.4423134135336176,0.5519694097149769,39.62189298543737,8.0,1.940312897120728
85,0.23316143961704766,0.31831176134423983,63.666734649260384,20.0,1.9405581320057153
31,0.1136678585087868,0.41019058275376896,45.11758178746595,17.0,1.940847474171716
44,0.17626591722249907,0.2110066133472006,40.692088184988876,19.0,1.941871992714248
38,0.4043101156962964,0.7161961112664428,49.08188246676286,12.0,1.9421563038168468
39,0.4604939344540441,0.834405068276803,44.44872652019017,14.0,1.942587309406118
7,0.21306490368887554,0.6524889710530758,69.21969069421846,21.0,1.9440483731363736
37,0.2683677829497593,0.28294275856535445,66.09891177734998,36.0,1.9445879369627985
45,0.35520895423123316,0.3625326073875631,62.192002683920464,7.0,1.945977061950963
52,0.2003473401765694,0.13702257008766275,37.745802396527075,49.0,1.9461188092659896
87,0.1544980425900374,0.6779657471584205,18.09772581224251,16.0,1.9468180944032218
49,0.3879782661887902,0.3829839256596499,77.14742680977581,20.0,1.9485689563816975
77,0.8484642133944178,0.2841317113160458,54.21588795602884,27.0,1.949797514051326
88,0.7909123975380155,0.6413956614772378,29.662159788783818,33.0,1.9509779564820866
60,0.7242824679674982,0.38883569954466335,21.23482164023823,10.0,1.9515310829034078
16,0.7230452085052819,0.34487587822807597,37.57029642971008,32.0,1.9515416503543752
23,0.4395980275927299,0.5797643113038838,79.11350479763678,6.0,1.9517180076865661
43,0.10142591483423904,0.16627805959942799,52.4999869333022,9.0,1.9530988046570001
51,0.5381210089915375,0.3092896179405598,51.345745746818295,24.0,1.953754704605866
83,0.42237143510410513,0.4592159518704473,51.27240066204564,31.0,1.9545706117310666
15,0.6572787996364299,0.8445813646106389,28.839367803017893,26.0,1.9579445203526908
89,0.7045352253308722,0.1859139354124619,76.9101393624824,12.0,1.9606094393629676
3,0.29106404895203924,0.31373648971883683,18.99870383453861,46.0,1.9610242792793489
70,0.5885326719030337,0.4861653995123669,27.178934507806755,15.0,1.9660926367329152
46,0.3227437289018086,0.09641979635996267,57.36379451132577,4.0,1.9661056601764255
25,0.37235241723851115,0.7897980870949435,66.78370873027147,11.0,1.96689427511334
2,0.14230251583890755,0.23099212556043633,56.59409745419253,19.0,1.9670492025986244
82,0.2802096503064666,0.6025006095282869,68.74593783096151,10.0,1.9680531836254063
34,0.813853787617977,0.6960442013678214,54.43441786588494,18.0,1.9702662343272592
0,0.6206242290096181,0.2396230963749706,55.02844624245999,31.0,1.9724817910220833
10,0.9838417722620427,0.4044426647629412,20.55665478452254,39.0,1.9747531097065563
6,0.9515542668609906,0.23195313365299267,23.516652829757955,42.0,1.9751015542694261
93,0.4908927449388104,0.8923715122319646,48.32552947533338,9.0,1.9751253181900637
65,0.9962704384479933,0.4263753796714826,42.17170476571957,7.0,1.978131232690459
78,0.7535331052691574,0.5172816278988652,11.674947435032845,13.0,1.9783430270607647
4,0.8998381346434021,0.7115072461886202,43.1900319671042,21.0,1.9790389615769786
9,0.5736255083936609,0.7493365304592302,53.135366904188885,40.0,1.9793041466666548
72,0.9379825646406101,0.49809332173184817,20.56151966262711,21.0,1.9798759812573248
30,0.2326549770299035,0.08014654359974982,48.83682445156759,16.0,1.981310759849944
33,0.48800605019319193,0.5288268624623992,72.66546258682722,25.0,1.9815957554940424
36,0.6080433240670915,0.6595482702644092,58.52130728457583,29.0,1.9851177560775475
69,0.7803529286829496,0.6139228097258012,15.42340917138069,11.0,1.9852396875617082
94,0.8590993869947264,0.47726684802743546,42.49860854885721,26.0,1.9867376711432654
35,0.19091755432011753,0.5854109317368847,79.67372396907501,50.0,1.9881548924565262
58,0.885519765879915,0.2694043027547537,29.701833542669704,45.0,1.9894985268196306
66,0.9681530451982318,0.5272651995262962,47.191577271061675,8.0,1.9898055987079561
74,0.5224846286052529,0.1809808446273859,23.75601640733681,17.0,1.9899125619417828
18,0.9104581990460712,0.17036699998296626,34.10027838115403,21.0,1.9913238011768097
