iter	MAE
0	66.43954125
1	66.42460106
2	66.4096617
3	66.39472206
4	66.37978227
5	66.36484219
6	66.34990286
7	66.33496161
8	66.32002211
9	66.30508276
10	66.29014223
11	66.27520276
12	66.26026335
13	66.24532381
14	66.23038034
15	66.21544067
16	66.20049674
