iter	Passed	Remaining
0	25	50704
1	64	64365
2	90	60117
3	130	65310
4	147	58831
5	175	58186
6	187	53482
7	227	56661
8	269	59596
9	311	61910
10	324	58608
11	367	60869
12	396	60532
13	437	62090
14	459	60804
15	499	61972
16	540	63076
17	582	64102
18	626	65273
19	670	66426
20	692	65283
21	734	66042
22	774	66552
23	803	66119
24	845	66795
25	864	65598
26	905	66191
27	948	66782
28	989	67274
29	1033	67837
30	1075	68305
31	1116	68656
32	1155	68895
33	1170	67704
34	1211	68015
35	1237	67518
36	1279	67858
37	1320	68187
38	1360	68402
39	1401	68656
40	1444	69018
41	1485	69245
42	1529	69590
43	1571	69864
44	1586	68944
45	1603	68103
46	1643	68282
47	1681	68371
48	1720	68513
49	1762	68741
50	1803	68923
51	1831	68623
52	1873	68826
53	1894	68284
54	1935	68453
55	1976	68619
56	2020	68869
57	2059	68952
58	2076	68321
59	2111	68272
60	2127	67615
61	2166	67716
62	2212	68020
63	2252	68137
64	2294	68308
65	2321	68039
66	2362	68151
67	2383	67717
68	2406	67333
69	2424	66852
70	2467	67050
71	2507	67158
72	2549	67295
73	2577	67073
74	2619	67225
75	2633	66657
76	2655	66323
77	2696	66439
78	2714	66014
79	2753	66090
80	2794	66214
81	2810	65735
82	2850	65843
83	2865	65363
84	2906	65480
85	2921	65017
86	2942	64708
87	2974	64628
88	2989	64192
89	3016	64012
90	3037	63730
91	3054	63345
92	3075	63062
93	3089	62639
94	3110	62370
95	3124	61960
96	3138	61569
97	3150	61138
98	3167	60814
99	3180	60436
100	3195	60085
101	3210	59742
102	3224	59389
103	3237	59029
104	3250	58655
105	3263	58308
106	3275	57953
107	3290	57637
108	3305	57339
109	3318	57014
110	3330	56682
111	3344	56371
112	3358	56085
113	3370	55757
114	3382	55450
115	3393	55121
116	3403	54781
117	3414	54462
118	3424	54133
119	3436	53833
120	3447	53538
121	3459	53249
122	3470	52962
123	3482	52687
124	3494	52417
125	3506	52149
126	3517	51879
127	3528	51606
128	3540	51344
129	3552	51101
130	3564	50849
131	3576	50608
132	3587	50359
133	3599	50122
134	3614	49927
135	3632	49792
136	3646	49583
137	3657	49344
138	3668	49116
139	3680	48899
140	3692	48685
141	3705	48481
142	3717	48275
143	3730	48078
144	3742	47880
145	3754	47677
146	3766	47483
147	3779	47290
148	3791	47101
149	3804	46926
150	3821	46793
151	3838	46671
152	3853	46517
153	3864	46325
154	3875	46133
155	3887	45953
156	3905	45849
157	3919	45690
158	3931	45524
159	3944	45360
160	3956	45194
161	3968	45023
162	3979	44853
163	3993	44710
164	4005	44547
165	4025	44475
166	4039	44339
167	4051	44177
168	4063	44027
169	4075	43866
170	4086	43704
171	4097	43549
172	4109	43396
173	4122	43261
174	4135	43124
175	4146	42976
176	4158	42831
177	4170	42685
178	4182	42549
179	4194	42411
180	4206	42274
181	4219	42146
182	4232	42023
183	4244	41894
184	4257	41770
185	4270	41644
186	4281	41514
187	4293	41383
188	4305	41254
189	4317	41125
190	4329	41004
191	4340	40871
192	4356	40786
193	4370	40690
194	4384	40586
195	4398	40485
196	4411	40377
197	4424	40267
198	4444	40226
199	4460	40145
200	4473	40035
201	4485	39921
202	4498	39818
203	4510	39711
204	4522	39600
205	4535	39495
206	4547	39389
207	4560	39293
208	4573	39188
209	4585	39086
210	4600	39009
211	4619	38963
212	4633	38871
213	4645	38773
214	4658	38679
215	4671	38583
216	4683	38484
217	4697	38395
218	4709	38301
219	4722	38206
220	4734	38109
221	4746	38013
222	4758	37916
223	4772	37837
224	4785	37754
225	4798	37663
226	4810	37572
227	4822	37478
228	4834	37391
229	4847	37301
230	4859	37216
231	4872	37129
232	4884	37040
233	4896	36956
234	4909	36875
235	4921	36784
236	4933	36696
237	4944	36605
238	4958	36533
239	4970	36450
240	4989	36414
241	5000	36322
242	5010	36225
243	5021	36141
244	5033	36053
245	5043	35963
246	5055	35880
247	5067	35796
248	5078	35712
249	5093	35654
250	5110	35607
251	5123	35537
252	5136	35467
253	5149	35396
254	5161	35321
255	5173	35245
256	5187	35181
257	5199	35104
258	5212	35040
259	5225	34973
260	5238	34901
261	5250	34829
262	5261	34752
263	5273	34678
264	5288	34623
265	5301	34556
266	5313	34488
267	5325	34418
268	5338	34350
269	5349	34276
270	5362	34214
271	5378	34166
272	5391	34104
273	5402	34032
274	5414	33964
275	5427	33903
276	5440	33839
277	5454	33786
278	5467	33728
279	5481	33673
280	5498	33634
281	5511	33579
282	5525	33525
283	5538	33466
284	5553	33416
285	5566	33359
286	5579	33301
287	5597	33275
288	5612	33230
289	5624	33165
290	5635	33096
291	5647	33034
292	5658	32967
293	5672	32913
294	5683	32851
295	5696	32792
296	5708	32732
297	5721	32677
298	5733	32617
299	5747	32566
300	5758	32503
301	5769	32441
302	5782	32388
303	5794	32325
304	5806	32270
305	5819	32214
306	5832	32164
307	5843	32103
308	5857	32054
309	5869	31999
310	5881	31941
311	5894	31890
312	5907	31839
313	5921	31794
314	5933	31740
315	5947	31694
316	5959	31640
317	5970	31578
318	5983	31528
319	5994	31471
320	6007	31424
321	6020	31372
322	6032	31318
323	6044	31268
324	6058	31224
325	6071	31176
326	6082	31119
327	6097	31080
328	6109	31031
329	6123	30989
330	6135	30937
331	6148	30888
332	6160	30840
333	6174	30797
334	6186	30745
335	6197	30694
336	6210	30645
337	6223	30600
338	6236	30556
339	6249	30513
340	6261	30465
341	6273	30414
342	6285	30363
343	6299	30325
344	6312	30282
345	6326	30242
346	6338	30194
347	6350	30145
348	6362	30096
349	6377	30065
350	6389	30020
351	6402	29974
352	6415	29930
353	6428	29891
354	6441	29846
355	6453	29800
356	6466	29760
357	6480	29721
358	6491	29675
359	6504	29631
360	6517	29590
361	6531	29553
362	6543	29507
363	6555	29465
364	6568	29422
365	6581	29382
366	6592	29333
367	6603	29285
368	6615	29239
369	6626	29192
370	6638	29146
371	6649	29101
372	6660	29053
373	6672	29009
374	6684	28964
375	6696	28921
376	6707	28876
377	6720	28836
378	6733	28797
379	6745	28758
380	6758	28720
381	6772	28686
382	6791	28674
383	6806	28642
384	6818	28602
385	6831	28566
386	6844	28527
387	6857	28489
388	6869	28450
389	6881	28409
390	6894	28369
391	6906	28329
392	6917	28284
393	6929	28243
394	6942	28209
395	6954	28170
396	6967	28132
397	6980	28095
398	6991	28055
399	7003	28014
400	7015	27972
401	7028	27939
402	7040	27899
403	7057	27881
404	7069	27843
405	7082	27805
406	7094	27769
407	7108	27735
408	7123	27708
409	7136	27675
410	7149	27640
411	7161	27604
412	7173	27565
413	7185	27526
414	7197	27491
415	7210	27454
416	7221	27415
417	7235	27382
418	7247	27348
419	7260	27314
420	7275	27288
421	7288	27252
422	7299	27214
423	7312	27182
424	7325	27146
425	7337	27110
426	7350	27077
427	7362	27041
428	7375	27008
429	7388	26976
430	7400	26942
431	7412	26903
432	7423	26866
433	7436	26831
434	7448	26798
435	7468	26788
436	7485	26774
437	7502	26753
438	7514	26720
439	7527	26688
440	7540	26655
441	7553	26625
442	7566	26593
443	7581	26568
444	7595	26542
445	7609	26512
446	7620	26476
447	7632	26442
448	7646	26413
449	7658	26380
450	7671	26346
451	7686	26323
452	7699	26292
453	7710	26257
454	7722	26224
455	7736	26194
456	7749	26164
457	7769	26157
458	7784	26135
459	7796	26102
460	7808	26069
461	7821	26038
462	7832	26002
463	7845	25972
464	7858	25942
465	7872	25913
466	7884	25882
467	7898	25856
468	7911	25825
469	7924	25797
470	7938	25770
471	7950	25737
472	7969	25726
473	7984	25704
474	7997	25676
475	8011	25651
476	8024	25621
477	8036	25590
478	8049	25561
479	8061	25527
480	8073	25497
481	8086	25466
482	8099	25437
483	8113	25414
484	8128	25390
485	8141	25362
486	8154	25335
487	8168	25307
488	8181	25281
489	8195	25254
490	8208	25227
491	8222	25201
492	8235	25173
493	8251	25154
494	8263	25125
495	8276	25096
496	8293	25080
497	8305	25049
498	8318	25022
499	8332	24996
500	8345	24969
501	8358	24942
502	8372	24918
503	8387	24896
504	8402	24873
505	8415	24847
506	8433	24833
507	8446	24806
508	8461	24784
509	8474	24758
510	8486	24730
511	8499	24703
512	8513	24677
513	8529	24658
514	8544	24638
515	8563	24627
516	8583	24620
517	8595	24590
518	8607	24561
519	8622	24540
520	8639	24526
521	8654	24505
522	8667	24477
523	8682	24456
524	8696	24431
525	8709	24406
526	8722	24379
527	8734	24351
528	8748	24327
529	8760	24298
530	8772	24270
531	8789	24254
532	8802	24226
533	8817	24206
534	8832	24187
535	8848	24169
536	8862	24144
537	8876	24121
538	8889	24095
539	8901	24066
540	8913	24037
541	8926	24013
542	8940	23988
543	8956	23970
544	8968	23942
545	8980	23914
546	8994	23892
547	9006	23865
548	9020	23840
549	9032	23813
550	9053	23807
551	9072	23798
552	9086	23775
553	9098	23749
554	9113	23727
555	9127	23705
556	9141	23682
557	9159	23669
558	9180	23665
559	9201	23660
560	9218	23646
561	9233	23626
562	9247	23603
563	9268	23599
564	9285	23583
565	9297	23556
566	9312	23535
567	9326	23514
568	9338	23486
569	9351	23460
570	9362	23431
571	9378	23412
572	9390	23386
573	9405	23367
574	9422	23352
575	9442	23343
576	9459	23330
577	9473	23306
578	9488	23286
579	9500	23260
580	9511	23231
581	9524	23206
582	9538	23182
583	9550	23155
584	9566	23139
585	9580	23116
586	9594	23095
587	9608	23073
588	9622	23051
589	9636	23029
590	9653	23013
591	9667	22993
592	9688	22988
593	9705	22973
594	9720	22952
595	9733	22929
596	9747	22908
597	9760	22883
598	9775	22864
599	9791	22847
600	9806	22828
601	9821	22808
602	9838	22793
603	9852	22772
604	9867	22752
605	9880	22727
606	9899	22717
607	9921	22716
608	9937	22699
609	9951	22675
610	9964	22652
611	9976	22627
612	9990	22604
613	10003	22582
614	10016	22558
615	10031	22537
616	10044	22513
617	10058	22493
618	10073	22473
619	10087	22453
620	10101	22432
621	10116	22411
622	10130	22390
623	10144	22370
624	10157	22347
625	10172	22328
626	10189	22313
627	10203	22290
628	10225	22287
629	10245	22279
630	10258	22257
631	10273	22238
632	10290	22221
633	10305	22204
634	10319	22182
635	10333	22162
636	10348	22142
637	10359	22116
638	10373	22094
639	10386	22071
640	10398	22046
641	10412	22024
642	10424	22000
643	10439	21980
644	10452	21958
645	10466	21938
646	10484	21924
647	10500	21909
648	10516	21891
649	10531	21873
650	10547	21855
651	10561	21836
652	10576	21817
653	10594	21804
654	10611	21789
655	10627	21774
656	10642	21754
657	10658	21739
658	10672	21718
659	10690	21705
660	10703	21682
661	10718	21663
662	10731	21641
663	10746	21622
664	10762	21605
665	10776	21585
666	10790	21564
667	10804	21544
668	10819	21525
669	10832	21503
670	10846	21483
671	10861	21464
672	10881	21455
673	10900	21444
674	10915	21426
675	10929	21406
676	10944	21387
677	10958	21367
678	10974	21350
679	10998	21349
680	11016	21336
681	11030	21316
682	11044	21297
683	11061	21282
684	11076	21263
685	11088	21238
686	11102	21219
687	11113	21193
688	11126	21170
689	11142	21154
690	11157	21135
691	11172	21117
692	11184	21094
693	11201	21080
694	11219	21066
695	11234	21047
696	11250	21032
697	11271	21024
698	11288	21010
699	11307	21000
700	11325	20986
701	11342	20972
702	11358	20955
703	11372	20935
704	11388	20919
705	11409	20911
706	11431	20907
707	11449	20892
708	11469	20884
709	11484	20866
710	11501	20851
711	11519	20837
712	11538	20827
713	11553	20809
714	11574	20801
715	11592	20788
716	11609	20774
717	11626	20759
718	11641	20740
719	11662	20732
720	11683	20725
721	11700	20711
722	11713	20689
723	11728	20671
724	11746	20657
725	11763	20642
726	11779	20625
727	11793	20605
728	11810	20590
729	11827	20576
730	11854	20579
731	11868	20559
732	11887	20546
733	11904	20533
734	11919	20515
735	11934	20496
736	11951	20482
737	11968	20466
738	11981	20444
739	11995	20425
