feature_shap,feature
1.697,rougher.input.feed_fe
0.889,primary_cleaner.input.copper_sulfate
0.581,secondary_cleaner.state.floatbank2_a_air
0.578,rougher.input.floatbank10_xanthate
0.452,rougher.input.feed_size
0.438,encod_dif_rougher.input.feed_pb
0.395,secondary_cleaner.state.floatbank3_a_air
0.361,encod_val_rougher.input.feed_fe
0.299,encod_val_primary_cleaner.input.copper_sulfate
0.293,diff_rougher.input.feed_zn_1
0.267,diff_primary_cleaner.input.xanthate_2
0.256,diff_rougher.input.feed_zn_2
0.252,diff_rougher.input.floatbank10_xanthate_2
0.248,primary_cleaner.state.floatbank8_c_air
0.229,primary_cleaner.state.floatbank8_b_air
0.217,encod_rel_rougher.input.feed_pb
0.217,diff_primary_cleaner.input.xanthate_1
0.215,rougher.input.floatbank11_xanthate
0.207,secondary_cleaner.state.floatbank6_a_air
0.195,encod_val_primary_cleaner.input.xanthate
0.195,encod_val_primary_cleaner.input.depressant
0.191,rougher.state.floatbank10_d_air
0.186,primary_cleaner.state.floatbank8_c_level
0.185,diff_rougher.input.feed_pb_1
0.176,primary_cleaner.state.floatbank8_a_air
0.170,rougher.state.floatbank10_f_air
0.165,encod_rel_primary_cleaner.input.copper_sulfate
0.144,diff_rougher.input.feed_pb_2
0.137,primary_cleaner.input.feed_size
0.135,primary_cleaner.state.floatbank8_d_air
0.131,diff_primary_cleaner.input.depressant_2
0.123,primary_cleaner.input.depressant
0.121,secondary_cleaner.state.floatbank3_b_air
0.113,daily_avg_final
0.098,rougher.state.floatbank10_c_air
0.094,encod_val_rougher.input.feed_pb
0.088,diff_primary_cleaner.state.floatbank8_c_level_1
0.086,secondary_cleaner.state.floatbank4_b_level
0.084,dayw
0.079,diff_rougher.input.floatbank10_xanthate_1
0.076,diff_encod_val_rougher.input.feed_zn_1
0.074,secondary_cleaner.state.floatbank4_b_air
0.069,rougher.input.feed_rate
0.069,diff_rougher.input.floatbank11_xanthate_2
0.066,diff_encod_rel_rougher.input.feed_zn_1
0.065,diff_encod_val_rougher.input.feed_pb_2
0.064,secondary_cleaner.state.floatbank5_b_air
0.064,rougher.input.feed_zn
0.064,rougher.state.floatbank10_a_air
0.062,rougher.input.floatbank11_copper_sulfate
0.060,diff_primary_cleaner.state.floatbank8_d_level_2
0.060,encod_val_primary_cleaner.state.floatbank8_a_level
0.060,encod_dif_primary_cleaner.input.copper_sulfate
0.059,secondary_cleaner.state.floatbank5_a_air
0.057,encod_rel_primary_cleaner.input.xanthate
0.056,secondary_cleaner.state.floatbank4_a_air
0.055,encod_rel_rougher.input.feed_fe
0.053,diff_rougher.input.feed_size_2
0.053,diff_rougher.input.floatbank11_xanthate_1
0.052,secondary_cleaner.state.floatbank5_b_level
0.051,primary_cleaner.state.floatbank8_d_level
0.047,rougher.input.feed_pb
0.046,diff_primary_cleaner.state.floatbank8_d_level_1
0.045,rougher.input.floatbank10_copper_sulfate
0.045,diff_rougher.input.feed_sol_2
0.044,rougher.state.floatbank10_e_air
0.044,rougher.state.floatbank10_c_level
0.043,rougher.state.floatbank10_b_level
0.040,diff_primary_cleaner.state.floatbank8_c_air_1
0.039,encod_dif_rougher.input.feed_zn
0.038,diff_encod_val_rougher.input.feed_zn_2
0.037,secondary_cleaner.state.floatbank2_b_air
0.036,encod_dif_primary_cleaner.input.xanthate
0.036,rougher.input.feed_sol
0.034,week
0.032,primary_cleaner.input.xanthate
0.026,encod_rel_primary_cleaner.input.feed_size
0.025,encod_rel_rougher.input.feed_zn
0.025,diff_rougher.input.floatbank10_copper_sulfate_1
0.024,rougher.state.floatbank10_b_air
0.024,daily_avg_rougher
0.024,diff_rougher.state.floatbank10_d_air_2
0.023,encod_dif_rougher.input.feed_fe
0.020,encod_dif_primary_cleaner.input.feed_size
0.019,diff_primary_cleaner.input.depressant_1
0.015,diff_rougher.input.feed_sol_1
0.014,diff_rougher.input.feed_size_1
0.014,diff_primary_cleaner.input.copper_sulfate_1
0.013,diff_primary_cleaner.input.copper_sulfate_2
0.012,diff_rougher.input.floatbank11_copper_sulfate_2
0.009,diff_encod_rel_rougher.input.feed_zn_2
0.008,rougher.state.floatbank10_f_level
0.008,diff_primary_cleaner.state.floatbank8_c_level_2
0.008,diff_rougher.state.floatbank10_d_air_1
0.008,diff_encod_val_rougher.input.feed_pb_1
0.007,diff_rougher.input.floatbank11_copper_sulfate_1
0.006,diff_rougher.input.feed_fe_1
0.006,diff_primary_cleaner.state.floatbank8_c_air_2
0.005,diff_rougher.input.feed_fe_2
0.005,diff_rougher.state.floatbank10_c_level_2
0.002,diff_rougher.state.floatbank10_c_level_1
0.002,diff_rougher.input.floatbank10_copper_sulfate_2
