feature_shap,feature
1.07816,rougher.input.feed_fe
0.61848,primary_cleaner.input.copper_sulfate
0.55482,encod_val_primary_cleaner.input.feed_size
0.30730,deriv1_rougher.input.feed_zn
0.30150,secondary_cleaner.state.floatbank2_a_air
0.30068,value__quantile__q_0.95_p120_rougher.input.feed_fe
0.27224,encod_dif_rougher.input.feed_pb
0.25673,value__maximum_p6_rougher.input.feed_fe
0.24200,encod_val_primary_cleaner.input.copper_sulfate
0.21925,value__mean_p6_rougher.input.feed_fe
0.20789,value__quantile__q_0.95_p24_primary_cleaner.state.floatbank8_a_air
0.20546,deriv1_primary_cleaner.input.xanthate
0.19591,secondary_cleaner.state.floatbank3_a_air
0.18701,diff_rougher.input.feed_zn_s2b0
0.17486,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.17017,value__quantile__q_0.95_p24_rougher.input.feed_rate
0.17012,diff_primary_cleaner.input.xanthate_s2b0
0.15121,deriv1_rougher.input.feed_pb
0.15090,encod_val_rougher.input.feed_pb
0.14740,value__quantile__q_0.95_p120_primary_cleaner.input.depressant
0.13704,encod_val_rougher.input.feed_fe
0.12556,value__minimum_p6_rougher.input.floatbank11_xanthate
0.12516,diff_rougher.input.floatbank10_xanthate_s2b0
0.12295,value__quantile__q_0.05_p24_rougher.input.floatbank11_xanthate
0.11763,value__kurtosis_p120_secondary_cleaner.state.floatbank5_a_air
0.11694,value__mean_p6_rougher.input.floatbank11_xanthate
0.11437,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.11402,value__quantile__q_0.95_p120_primary_cleaner.state.floatbank8_a_air
0.11402,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.11326,encod_rel_primary_cleaner.input.copper_sulfate
0.11128,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.10755,value__absolute_sum_of_changes_p120_rougher.input.floatbank10_copper_sulfate
0.10539,diff_encod_val_rougher.input.feed_pb_s2b0
0.10423,encod_val_primary_cleaner.input.xanthate
0.10035,secondary_cleaner.state.floatbank6_a_air
0.09890,value__quantile__q_0.95_p120_primary_cleaner.input.xanthate
0.09671,value__quantile__q_0.95_p12_primary_cleaner.input.depressant
0.09573,primary_cleaner.state.floatbank8_c_air
0.09147,value__kurtosis_p120_rougher.input.feed_pb
0.08961,rel_primary_cleaner.input.xanthate_s3b0
0.08920,rougher.input.feed_zn
0.08813,encod_rel_rougher.input.feed_pb
0.08799,value__quantile__q_0.95_p12_primary_cleaner.state.floatbank8_a_air
0.08672,encod_val_primary_cleaner.input.depressant
0.08564,value__quantile__q_0.95_p24_rougher.input.floatbank11_xanthate
0.08538,value__maximum_p6_rougher.input.feed_rate
0.08526,value__quantile__q_0.95_p120_rougher.input.feed_sol
0.08425,rougher.input.floatbank10_xanthate
0.08419,primary_cleaner.state.floatbank8_b_air
0.08396,primary_cleaner.state.floatbank8_b_level
0.08162,value__quantile__q_0.05_p24_secondary_cleaner.state.floatbank5_a_air
0.08137,rougher.input.feed_size
0.07986,value__mean_p6_primary_cleaner.input.copper_sulfate
0.07965,diff_rougher.input.feed_rate_s3b1
0.07873,rel_primary_cleaner.input.depressant_s3b0
0.07225,value__linear_trend__attr_slope_p24_rougher.input.feed_rate
0.07213,value__minimum_p6_primary_cleaner.input.copper_sulfate
0.07050,value__kurtosis_p24_secondary_cleaner.state.floatbank5_a_air
0.07017,value__quantile__q_0.05_p120_primary_cleaner.state.floatbank8_a_air
0.06994,value__maximum_p6_rougher.input.floatbank11_xanthate
0.06949,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_sol
0.06942,value__quantile__q_0.95_p120_secondary_cleaner.state.floatbank5_a_air
0.06815,deriv1_primary_cleaner.state.floatbank8_c_level
0.06654,value__quantile__q_0.05_p24_primary_cleaner.state.floatbank8_a_air
0.06603,deriv1_rougher.input.floatbank10_xanthate
0.06600,rougher.state.floatbank10_d_air
0.06569,value__quantile__q_0.05_p24_rougher.input.feed_sol
0.06398,encod_val_rougher.input.feed_zn
0.06392,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.06365,rel_rougher.input.feed_zn_s3b0
0.06282,diff_primary_cleaner.input.depressant_s2b0
0.06250,value__quantile__q_0.05_p12_primary_cleaner.state.floatbank8_a_air
0.06196,value__quantile__q_0.95_p24_primary_cleaner.input.depressant
0.06148,deriv1_encod_val_rougher.input.feed_zn
0.06098,primary_cleaner.input.feed_size
0.05989,value__skewness_p120_rougher.state.floatbank10_b_air
0.05832,value__quantile__q_0.05_p24_rougher.input.feed_rate
0.05726,value__quantile__q_0.95_p120_primary_cleaner.input.feed_size
0.05718,diff_rougher.input.feed_pb_s2b0
0.05614,primary_cleaner.state.floatbank8_d_level
0.05562,value__quantile__q_0.95_p120_rougher.state.floatbank10_b_air
0.05514,value__linear_trend__attr_slope_p24_rougher.input.feed_sol
0.05405,value__quantile__q_0.05_p24_primary_cleaner.input.depressant
0.05274,value__fft_aggregated__aggtype_centroid_p12_primary_cleaner.input.copper_sulfate
0.05159,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.04958,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_fe
0.04882,value__mean_p6_rougher.input.feed_pb
0.04879,value__fft_aggregated__aggtype_variance_p120_primary_cleaner.input.xanthate
0.04865,value__quantile__q_0.05_p120_primary_cleaner.input.depressant
0.04806,secondary_cleaner.state.floatbank4_a_air
0.04771,rougher.state.floatbank10_c_air
0.04768,secondary_cleaner.state.floatbank2_b_air
0.04762,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.04753,value__quantile__q_0.05_p12_primary_cleaner.input.copper_sulfate
0.04624,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.04624,deriv1_rougher.input.floatbank11_xanthate
0.04621,value__mean_p6_primary_cleaner.input.xanthate
0.04481,encod_rel_primary_cleaner.input.depressant
0.04473,value__mean_p6_primary_cleaner.state.floatbank8_a_air
0.04456,value__minimum_p6_rougher.input.feed_pb
0.04452,value__absolute_sum_of_changes_p120_rougher.input.floatbank11_xanthate
0.04425,diff_encod_val_rougher.input.feed_zn_s2b0
0.04388,daily_avg_final
0.04300,primary_cleaner.state.floatbank8_c_level
0.04267,rel_rougher.state.floatbank10_c_level_s3b0
0.04219,value__maximum_p6_rougher.input.feed_pb
0.04208,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.copper_sulfate
0.04156,value__quantile__q_0.05_p24_primary_cleaner.input.feed_size
0.04151,value__quantile__q_0.05_p24_rougher.input.feed_fe
0.04104,value__kurtosis_p120_primary_cleaner.input.feed_size
0.04097,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.04055,value__linear_trend__attr_slope_p120_rougher.input.floatbank11_xanthate
0.04052,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.03974,primary_cleaner.state.floatbank8_a_level
0.03959,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.03927,value__absolute_sum_of_changes_p120_primary_cleaner.input.xanthate
0.03925,rel_encod_val_rougher.input.feed_pb_s3b0
0.03922,value__kurtosis_p24_rougher.input.floatbank11_xanthate
0.03914,value__skewness_p120_primary_cleaner.input.xanthate
0.03779,value__skewness_p24_rougher.input.feed_rate
0.03776,value__linear_trend__attr_slope_p120_primary_cleaner.state.floatbank8_a_air
0.03743,secondary_cleaner.state.floatbank5_a_air
0.03666,value__quantile__q_0.05_p24_primary_cleaner.input.xanthate
0.03638,value__skewness_p120_primary_cleaner.input.feed_size
0.03627,secondary_cleaner.state.floatbank3_b_air
0.03602,rougher.state.floatbank10_e_air
0.03594,rougher.input.floatbank11_xanthate
0.03558,encod_rel_primary_cleaner.state.floatbank8_a_level
0.03524,encod_rel_rougher.input.feed_zn
0.03523,deriv1_primary_cleaner.input.copper_sulfate
0.03517,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.03463,value__kurtosis_p24_rougher.input.floatbank10_copper_sulfate
0.03412,value__linear_trend__attr_slope_p12_primary_cleaner.input.xanthate
0.03385,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.03380,value__linear_trend__attr_slope_p120_primary_cleaner.input.feed_size
0.03340,hour
0.03318,value__mean_second_derivative_central_p120_primary_cleaner.input.feed_size
0.03312,rel_primary_cleaner.input.copper_sulfate_s3b0
0.03261,deriv2_rougher.input.feed_rate
0.03259,value__quantile__q_0.05_p120_primary_cleaner.input.xanthate
0.03247,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_pb
0.03202,value__fft_aggregated__aggtype_centroid_p120_rougher.input.feed_sol
0.03199,value__absolute_sum_of_changes_p120_rougher.input.feed_zn
0.03189,diff_rougher.input.floatbank11_xanthate_s2b0
0.03162,deriv1_encod_rel_rougher.input.feed_zn
0.03131,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.03108,rougher.state.floatbank10_f_air
0.03103,value__absolute_sum_of_changes_p120_rougher.input.feed_sol
0.03081,value__fft_aggregated__aggtype_variance_p24_primary_cleaner.input.xanthate
0.03073,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.03073,value__skewness_p120_rougher.input.feed_rate
0.03041,value__kurtosis_p120_primary_cleaner.input.xanthate
0.03033,value__quantile__q_0.05_p24_primary_cleaner.input.copper_sulfate
0.02966,value__fft_aggregated__aggtype_centroid_p24_secondary_cleaner.state.floatbank5_a_air
0.02964,value__quantile__q_0.95_p24_primary_cleaner.input.xanthate
0.02927,value__mean_second_derivative_central_p12_primary_cleaner.input.copper_sulfate
0.02925,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.02910,value__quantile__q_0.95_p120_rougher.input.feed_rate
0.02899,value__absolute_sum_of_changes_p120_primary_cleaner.input.feed_size
0.02891,value__fft_aggregated__aggtype_variance_p24_rougher.state.floatbank10_b_air
0.02858,value__absolute_sum_of_changes_p24_rougher.input.feed_pb
0.02854,value__linear_trend__attr_slope_p120_primary_cleaner.input.depressant
0.02829,value__fft_aggregated__aggtype_centroid_p120_primary_cleaner.input.xanthate
0.02801,value__absolute_sum_of_changes_p120_rougher.input.feed_pb
0.02756,value__maximum_p6_rougher.input.feed_sol
0.02741,value__kurtosis_p120_rougher.input.feed_sol
0.02729,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.02709,diff_primary_cleaner.input.xanthate_s3b1
0.02708,value__absolute_sum_of_changes_p24_rougher.input.feed_zn
0.02689,value__fft_aggregated__aggtype_variance_p120_rougher.input.floatbank11_xanthate
0.02653,value__fft_aggregated__aggtype_variance_p24_rougher.input.floatbank11_xanthate
0.02652,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.02638,rougher.state.floatbank10_c_level
0.02581,value__linear_trend__attr_slope_p120_rougher.input.floatbank10_copper_sulfate
0.02573,value__fft_aggregated__aggtype_centroid_p120_secondary_cleaner.state.floatbank5_a_air
0.02531,value__kurtosis_p120_rougher.input.feed_zn
0.02529,value__fft_aggregated__aggtype_centroid_p120_rougher.input.floatbank11_xanthate
0.02469,value__absolute_sum_of_changes_p120_secondary_cleaner.state.floatbank5_a_air
0.02467,value__fft_aggregated__aggtype_variance_p120_secondary_cleaner.state.floatbank5_a_air
0.02465,deriv3_primary_cleaner.input.copper_sulfate
0.02453,value__mean_second_derivative_central_p6_rougher.input.floatbank11_xanthate
0.02445,rel_primary_cleaner.state.floatbank8_c_level_s3b0
0.02426,value__skewness_p24_rougher.input.feed_sol
0.02416,secondary_cleaner.state.floatbank5_b_level
0.02405,value__absolute_sum_of_changes_p120_primary_cleaner.input.depressant
0.02403,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank11_xanthate
0.02371,value__absolute_sum_of_changes_p24_primary_cleaner.input.feed_size
0.02359,value__absolute_sum_of_changes_p24_primary_cleaner.input.depressant
0.02356,value__kurtosis_p120_primary_cleaner.state.floatbank8_a_air
0.02333,secondary_cleaner.state.floatbank2_a_level
0.02300,value__fft_aggregated__aggtype_skew_p120_rougher.input.floatbank10_copper_sulfate
0.02289,deriv2_rougher.input.feed_pb
0.02276,value__minimum_p6_primary_cleaner.input.feed_size
0.02268,value__absolute_sum_of_changes_p12_rougher.input.feed_fe
