feature_shap,feature
0.77179,rougher.input.feed_fe_diff_encod_dif_rougher.input.feed_pb
0.48052,rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.feed_size
0.39862,primary_cleaner.input.copper_sulfate_poly_secondary_cleaner.state.floatbank2_a_air
0.30330,rougher.input.feed_fe_poly_value__minimum_p6_rougher.input.floatbank11_xanthate
0.28463,encod_val_rougher.input.feed_fe_poly_rougher.input.floatbank10_xanthate
0.21126,encod_val_primary_cleaner.input.feed_size_poly_secondary_cleaner.state.floatbank2_a_air
0.16822,value__minimum_p6_rougher.input.floatbank11_xanthate_poly_secondary_cleaner.state.floatbank2_a_air
0.16432,deriv1_primary_cleaner.input.xanthate
0.15853,deriv1_rougher.input.feed_zn_diff_encod_dif_rougher.input.feed_pb
0.15469,encod_val_primary_cleaner.input.feed_size_diff_encod_dif_rougher.input.feed_pb
0.15171,value__maximum_p6_rougher.input.feed_fe_diff_encod_dif_rougher.input.feed_pb
0.14734,value__quantile__q_0.95_p24_primary_cleaner.state.floatbank8_a_air
0.14230,encod_val_rougher.input.feed_zn_poly_rougher.input.floatbank10_xanthate
0.13944,secondary_cleaner.state.floatbank3_a_air
0.13697,diff_rougher.input.feed_zn_s2b0
0.13619,secondary_cleaner.state.floatbank2_a_air_poly_encod_val_primary_cleaner.input.copper_sulfate
0.13450,encod_val_rougher.input.feed_pb_poly_rougher.input.floatbank10_xanthate
0.13246,primary_cleaner.input.copper_sulfate_poly_encod_val_primary_cleaner.input.feed_size
0.13113,diff_primary_cleaner.input.xanthate_s2b0
0.12022,encod_val_primary_cleaner.input.feed_size
0.11771,encod_val_primary_cleaner.input.feed_size
0.11653,deriv1_rougher.input.floatbank10_xanthate
0.10852,deriv1_rougher.input.feed_zn_rat_value__minimum_p6_rougher.input.floatbank11_xanthate
0.10224,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.09962,rougher.state.floatbank10_a_level_rat_rougher.input.floatbank10_xanthate
0.09338,encod_val_primary_cleaner.input.feed_size_poly_encod_val_primary_cleaner.input.copper_sulfate
