feature_shap,feature
0.468,diff_rougher.input.feed_zn
0.381,diff_primary_cleaner.input.xanthate
0.259,diff_rougher.input.floatbank10_xanthate
0.232,diff_rougher.input.feed_pb
0.076,diff_primary_cleaner.input.depressant
0.068,diff_encod_val_rougher.input.feed_zn
0.044,diff_rougher.input.floatbank11_xanthate
0.044,diff_primary_cleaner.state.floatbank8_d_level
0.036,diff_rougher.input.floatbank10_copper_sulfate
0.028,diff_encod_val_rougher.input.feed_pb
0.027,diff_primary_cleaner.state.floatbank8_c_level
0.018,diff_rougher.input.feed_sol
0.014,diff_primary_cleaner.state.floatbank8_c_air
0.012,diff_primary_cleaner.input.copper_sulfate
0.009,diff_secondary_cleaner.state.floatbank2_a_level
0.005,diff_secondary_cleaner.state.floatbank4_a_air
0.005,diff_primary_cleaner.state.floatbank8_b_level
0.004,diff_encod_val_primary_cleaner.input.depressant
0.004,diff_rougher.state.floatbank10_e_air
0.003,diff_encod_val_primary_cleaner.state.floatbank8_a_level
0.003,diff_encod_val_rougher.input.feed_fe
0.003,diff_encod_dif_rougher.input.feed_zn
0.003,diff_encod_rel_rougher.input.feed_zn
0.002,diff_secondary_cleaner.state.floatbank4_b_air
0.002,diff_secondary_cleaner.state.floatbank3_a_level
0.002,diff_primary_cleaner.state.floatbank8_b_air
0.002,diff_rougher.state.floatbank10_b_air
0.002,diff_encod_dif_primary_cleaner.input.copper_sulfate
0.002,diff_rougher.state.floatbank10_f_air
0.002,diff_rougher.input.feed_rate
0.002,diff_rougher.input.feed_size
0.002,diff_encod_val_primary_cleaner.input.xanthate
0.001,diff_secondary_cleaner.state.floatbank4_b_level
0.001,diff_encod_dif_rougher.input.feed_pb
0.001,diff_encod_rel_rougher.input.feed_fe
0.001,diff_rougher.state.floatbank10_f_level
0.001,diff_encod_rel_primary_cleaner.input.feed_size
0.001,diff_secondary_cleaner.state.floatbank6_a_air
0.001,diff_rougher.state.floatbank10_c_air
0.001,diff_secondary_cleaner.state.floatbank3_b_air
0.001,diff_encod_dif_rougher.input.feed_fe
0.001,diff_secondary_cleaner.state.floatbank5_a_level
0.000,diff_encod_val_primary_cleaner.input.copper_sulfate
0.000,diff_rougher.state.floatbank10_e_level
0.000,diff_week
0.000,diff_encod_rel_primary_cleaner.input.copper_sulfate
0.000,diff_dayw
0.000,diff_encod_rel_primary_cleaner.input.depressant
0.000,diff_encod_rel_rougher.input.feed_pb
0.000,diff_encod_dif_primary_cleaner.input.depressant
0.000,diff_encod_val_primary_cleaner.input.feed_size
0.000,diff_encod_rel_primary_cleaner.input.xanthate
0.000,diff_encod_dif_primary_cleaner.input.xanthate
0.000,diff_daily_avg_final
0.000,diff_encod_dif_primary_cleaner.input.feed_size
0.000,diff_encod_rel_primary_cleaner.state.floatbank8_a_level
0.000,diff_encod_dif_primary_cleaner.state.floatbank8_a_level
0.000,diff_hour
0.000,diff_daily_avg_rougher
0.000,diff_rougher.state.floatbank10_b_level
0.000,diff_primary_cleaner.input.feed_size
0.000,diff_primary_cleaner.state.floatbank8_a_air
0.000,diff_primary_cleaner.state.floatbank8_a_level
0.000,diff_primary_cleaner.state.floatbank8_d_air
0.000,diff_rougher.input.feed_fe
0.000,diff_rougher.input.floatbank11_copper_sulfate
0.000,diff_rougher.state.floatbank10_a_air
0.000,diff_rougher.state.floatbank10_a_level
0.000,diff_rougher.state.floatbank10_c_level
0.000,diff_secondary_cleaner.state.floatbank6_a_level
0.000,diff_rougher.state.floatbank10_d_air
0.000,diff_rougher.state.floatbank10_d_level
0.000,diff_secondary_cleaner.state.floatbank2_a_air
0.000,diff_secondary_cleaner.state.floatbank2_b_air
0.000,diff_secondary_cleaner.state.floatbank2_b_level
0.000,diff_secondary_cleaner.state.floatbank3_b_level
0.000,diff_secondary_cleaner.state.floatbank4_a_level
0.000,diff_secondary_cleaner.state.floatbank5_a_air
0.000,diff_secondary_cleaner.state.floatbank5_b_air
0.000,diff_secondary_cleaner.state.floatbank5_b_level
0.000,diff_secondary_cleaner.state.floatbank3_a_air
