feature_shap,feature
1.630,rougher.input.feed_fe
0.929,primary_cleaner.input.copper_sulfate
0.611,encod_val_rougher.input.feed_fe
0.572,rougher.input.floatbank10_xanthate
0.468,diff_rougher.input.feed_zn
0.463,secondary_cleaner.state.floatbank3_a_air
0.458,rougher.input.feed_size
0.390,secondary_cleaner.state.floatbank2_a_air
0.381,diff_primary_cleaner.input.xanthate
0.297,encod_val_primary_cleaner.state.floatbank8_a_level
0.259,diff_rougher.input.floatbank10_xanthate
0.252,encod_rel_rougher.input.feed_zn
0.241,encod_dif_rougher.input.feed_zn
0.232,diff_rougher.input.feed_pb
0.212,primary_cleaner.state.floatbank8_b_air
0.197,encod_rel_primary_cleaner.input.copper_sulfate
0.196,rougher.input.floatbank11_xanthate
0.188,encod_rel_rougher.input.feed_pb
0.151,primary_cleaner.state.floatbank8_d_air
0.147,primary_cleaner.state.floatbank8_c_air
0.142,secondary_cleaner.state.floatbank6_a_air
0.137,rougher.input.feed_pb
0.111,rougher.input.feed_rate
0.102,primary_cleaner.state.floatbank8_a_air
0.101,encod_dif_rougher.input.feed_fe
0.081,rougher.state.floatbank10_d_air
0.080,encod_val_primary_cleaner.input.xanthate
0.078,encod_dif_rougher.input.feed_pb
0.076,diff_primary_cleaner.input.depressant
0.073,rougher.input.feed_zn
0.070,primary_cleaner.input.feed_size
0.068,diff_encod_val_rougher.input.feed_zn
0.067,daily_avg_final
0.066,secondary_cleaner.state.floatbank5_a_air
0.057,primary_cleaner.state.floatbank8_d_level
0.057,rougher.state.floatbank10_b_air
0.057,primary_cleaner.input.depressant
0.056,rougher.state.floatbank10_c_air
0.055,rougher.input.floatbank10_copper_sulfate
0.051,rougher.state.floatbank10_f_air
0.048,week
0.047,encod_val_primary_cleaner.input.depressant
0.047,secondary_cleaner.state.floatbank4_b_air
0.044,diff_rougher.input.floatbank11_xanthate
0.044,diff_primary_cleaner.state.floatbank8_d_level
0.042,primary_cleaner.state.floatbank8_c_level
0.041,encod_val_primary_cleaner.input.copper_sulfate
0.041,secondary_cleaner.state.floatbank4_a_air
0.040,rougher.input.floatbank11_copper_sulfate
0.037,secondary_cleaner.state.floatbank3_b_air
0.036,diff_rougher.input.floatbank10_copper_sulfate
0.034,primary_cleaner.input.xanthate
0.032,encod_rel_primary_cleaner.input.feed_size
0.031,encod_dif_primary_cleaner.input.copper_sulfate
0.031,secondary_cleaner.state.floatbank5_b_level
0.028,diff_encod_val_rougher.input.feed_pb
0.028,daily_avg_rougher
0.028,rougher.state.floatbank10_a_air
0.028,rougher.state.floatbank10_e_air
0.027,diff_primary_cleaner.state.floatbank8_c_level
0.025,rougher.state.floatbank10_c_level
0.025,encod_rel_rougher.input.feed_fe
0.024,secondary_cleaner.state.floatbank5_b_air
0.023,dayw
0.022,encod_val_rougher.input.feed_pb
0.019,secondary_cleaner.state.floatbank2_b_air
0.018,diff_rougher.input.feed_sol
0.017,rougher.state.floatbank10_f_level
0.016,rougher.state.floatbank10_b_level
0.016,secondary_cleaner.state.floatbank4_b_level
0.016,rougher.input.feed_sol
0.014,encod_rel_primary_cleaner.input.xanthate
0.014,diff_primary_cleaner.state.floatbank8_c_air
0.014,encod_dif_primary_cleaner.input.xanthate
0.012,encod_dif_primary_cleaner.input.feed_size
0.012,diff_primary_cleaner.input.copper_sulfate
0.012,primary_cleaner.state.floatbank8_a_level
0.010,hour
0.009,secondary_cleaner.state.floatbank4_a_level
0.009,diff_secondary_cleaner.state.floatbank2_a_level
0.008,secondary_cleaner.state.floatbank3_b_level
0.006,secondary_cleaner.state.floatbank5_a_level
0.005,encod_val_rougher.input.feed_zn
0.005,diff_secondary_cleaner.state.floatbank4_a_air
0.005,diff_primary_cleaner.state.floatbank8_b_level
0.004,encod_rel_primary_cleaner.state.floatbank8_a_level
0.004,diff_encod_val_primary_cleaner.input.depressant
0.004,diff_rougher.state.floatbank10_e_air
0.003,diff_encod_val_primary_cleaner.state.floatbank8_a_level
0.003,diff_encod_val_rougher.input.feed_fe
0.003,secondary_cleaner.state.floatbank2_b_level
0.003,encod_val_primary_cleaner.input.feed_size
0.003,diff_encod_dif_rougher.input.feed_zn
0.003,diff_encod_rel_rougher.input.feed_zn
0.002,diff_secondary_cleaner.state.floatbank4_b_air
0.002,diff_secondary_cleaner.state.floatbank3_a_level
0.002,diff_primary_cleaner.state.floatbank8_b_air
0.002,diff_rougher.state.floatbank10_b_air
0.002,diff_encod_dif_primary_cleaner.input.copper_sulfate
0.002,diff_rougher.state.floatbank10_f_air
0.002,diff_rougher.input.feed_rate
0.002,diff_rougher.input.feed_size
0.002,diff_encod_val_primary_cleaner.input.xanthate
0.002,secondary_cleaner.state.floatbank6_a_level
0.001,diff_secondary_cleaner.state.floatbank4_b_level
0.001,rougher.state.floatbank10_a_level
0.001,diff_encod_dif_rougher.input.feed_pb
0.001,diff_encod_rel_rougher.input.feed_fe
0.001,diff_rougher.state.floatbank10_f_level
0.001,diff_encod_rel_primary_cleaner.input.feed_size
0.001,encod_dif_primary_cleaner.state.floatbank8_a_level
0.001,diff_secondary_cleaner.state.floatbank6_a_air
0.001,diff_rougher.state.floatbank10_c_air
0.001,diff_secondary_cleaner.state.floatbank3_b_air
0.001,diff_encod_dif_rougher.input.feed_fe
0.001,diff_secondary_cleaner.state.floatbank5_a_level
0.000,diff_encod_val_primary_cleaner.input.copper_sulfate
0.000,diff_rougher.state.floatbank10_e_level
0.000,secondary_cleaner.state.floatbank3_a_level
0.000,diff_week
0.000,diff_encod_rel_primary_cleaner.input.copper_sulfate
0.000,diff_dayw
0.000,diff_encod_rel_primary_cleaner.input.depressant
0.000,primary_cleaner.state.floatbank8_b_level
0.000,diff_encod_rel_rougher.input.feed_pb
0.000,diff_encod_dif_primary_cleaner.input.depressant
0.000,diff_encod_val_primary_cleaner.input.feed_size
0.000,diff_encod_rel_primary_cleaner.input.xanthate
0.000,diff_encod_dif_primary_cleaner.input.xanthate
0.000,diff_daily_avg_final
0.000,diff_encod_dif_primary_cleaner.input.feed_size
0.000,diff_encod_rel_primary_cleaner.state.floatbank8_a_level
0.000,diff_encod_dif_primary_cleaner.state.floatbank8_a_level
0.000,diff_hour
0.000,encod_rel_primary_cleaner.input.depressant
0.000,diff_daily_avg_rougher
0.000,diff_rougher.state.floatbank10_b_level
0.000,diff_primary_cleaner.input.feed_size
0.000,diff_primary_cleaner.state.floatbank8_a_air
0.000,diff_primary_cleaner.state.floatbank8_a_level
0.000,diff_primary_cleaner.state.floatbank8_d_air
0.000,diff_rougher.input.feed_fe
0.000,secondary_cleaner.state.floatbank2_a_level
0.000,rougher.state.floatbank10_e_level
0.000,rougher.state.floatbank10_d_level
0.000,diff_rougher.input.floatbank11_copper_sulfate
0.000,diff_rougher.state.floatbank10_a_air
0.000,diff_rougher.state.floatbank10_a_level
0.000,diff_rougher.state.floatbank10_c_level
0.000,diff_secondary_cleaner.state.floatbank6_a_level
0.000,diff_rougher.state.floatbank10_d_air
0.000,diff_rougher.state.floatbank10_d_level
0.000,diff_secondary_cleaner.state.floatbank2_a_air
0.000,diff_secondary_cleaner.state.floatbank2_b_air
0.000,diff_secondary_cleaner.state.floatbank2_b_level
0.000,encod_dif_primary_cleaner.input.depressant
0.000,diff_secondary_cleaner.state.floatbank3_b_level
0.000,diff_secondary_cleaner.state.floatbank4_a_level
0.000,diff_secondary_cleaner.state.floatbank5_a_air
0.000,diff_secondary_cleaner.state.floatbank5_b_air
0.000,diff_secondary_cleaner.state.floatbank5_b_level
0.000,diff_secondary_cleaner.state.floatbank3_a_air
