feature_shap,feature
1.760,rougher.input.feed_fe
1.136,rougher.state.floatbank10_a_level
1.005,rougher.state.floatbank10_a_air
0.550,rougher.state.floatbank10_c_air
0.420,rougher.input.feed_sol
0.409,encod_val_rougher.input.feed_fe
0.317,rougher.state.floatbank10_d_air
0.296,encod_val_rougher.input.feed_pb
0.266,encod_val_rougher.input.feed_zn
0.239,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.215,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.198,value__quantile__q_0.95_p12_rougher.input.floatbank11_xanthate
0.194,rougher.input.feed_size
0.190,value__quantile__q_0.05_p12_rougher.input.floatbank11_xanthate
0.180,diff_rougher.input.floatbank10_xanthate_1
0.172,rougher.input.floatbank10_xanthate
0.162,encod_dif_rougher.input.feed_pb
0.156,daily_avg_rougher
0.150,value__quantile__q_0.05_p12_rougher.input.feed_sol
0.147,value__quantile__q_0.05_p12_rougher.input.feed_pb
0.147,diff_rougher.input.feed_zn_1
0.136,rougher.input.feed_rate
0.131,value__quantile__q_0.95_p12_rougher.input.feed_sol
0.129,rougher.state.floatbank10_b_air
0.127,encod_rel_rougher.input.feed_pb
0.124,rougher.state.floatbank10_e_air
0.116,rougher.state.floatbank10_f_air
0.104,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.100,value__quantile__q_0.95_p12_rougher.input.floatbank10_copper_sulfate
0.099,value__maximum_p6_rougher.input.feed_sol
0.098,dayw
0.093,value__quantile__q_0.05_p12_rougher.input.feed_fe
0.092,value__linear_trend__attr_slope_p12_rougher.input.floatbank11_xanthate
0.088,hour
0.085,diff_encod_val_rougher.input.feed_zn_1
0.081,value__maximum_p6_rougher.input.feed_fe
0.078,value__minimum_p6_rougher.input.floatbank11_xanthate
0.078,encod_rel_rougher.input.feed_zn
0.077,value__maximum_p6_rougher.input.feed_pb
0.077,diff_rougher.input.floatbank11_xanthate_1
0.077,encod_rel_rougher.input.feed_fe
0.068,value__quantile__q_0.05_p12_rougher.input.floatbank10_copper_sulfate
0.065,rougher.state.floatbank10_b_level
0.064,value__maximum_p6_rougher.input.floatbank11_xanthate
0.064,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.063,encod_dif_rougher.input.feed_fe
0.062,value__mean_p6_rougher.input.feed_rate
0.060,value__quantile__q_0.05_p12_rougher.input.feed_rate
0.059,value__quantile__q_0.95_p12_rougher.state.floatbank10_b_air
0.058,value__minimum_p6_rougher.input.feed_sol
0.057,value__mean_p6_rougher.input.feed_sol
0.055,value__maximum_p6_rougher.input.feed_rate
0.055,value__minimum_p6_rougher.state.floatbank10_b_air
0.054,rougher.input.floatbank11_xanthate
0.053,rougher.state.floatbank10_e_level
0.052,value__skewness_p12_rougher.input.floatbank10_copper_sulfate
0.052,rougher.input.floatbank10_copper_sulfate
0.052,diff_encod_val_rougher.input.feed_pb_1
0.048,diff_rougher.input.floatbank10_xanthate_3
0.048,rougher.input.feed_pb
0.045,value__minimum_p6_rougher.input.feed_pb
0.044,rougher.input.feed_zn
0.042,diff_rougher.input.floatbank10_xanthate_2
0.042,diff_encod_val_rougher.input.feed_pb_3
0.040,rougher.state.floatbank10_d_level
0.039,value__minimum_p6_rougher.input.feed_zn
0.039,value__skewness_p12_rougher.input.feed_fe
0.038,value__mean_p6_rougher.input.feed_fe
0.037,value__quantile__q_0.95_p12_rougher.input.feed_rate
0.036,diff_rougher.input.feed_rate_2
0.034,diff_rougher.input.feed_fe_1
0.033,diff_rougher.state.floatbank10_d_air_3
0.032,rougher.input.floatbank11_copper_sulfate
0.030,value__quantile__q_0.95_p12_rougher.input.feed_zn
0.028,diff_rougher.state.floatbank10_c_level_1
0.026,value__mean_p6_rougher.input.floatbank11_xanthate
0.026,value__mean_p6_rougher.state.floatbank10_b_air
0.025,value__kurtosis_p12_rougher.input.feed_rate
0.025,diff_rougher.input.feed_pb_1
0.025,value__quantile__q_0.05_p12_rougher.input.feed_zn
0.024,value__minimum_p6_rougher.input.feed_rate
0.024,value__linear_trend__attr_slope_p12_rougher.input.feed_fe
0.024,value__maximum_p6_rougher.input.floatbank10_copper_sulfate
0.023,value__maximum_p6_rougher.state.floatbank10_b_air
0.022,diff_rougher.input.feed_rate_3
0.017,diff_rougher.input.feed_sol_3
0.017,rougher.state.floatbank10_c_level
0.016,value__minimum_p6_rougher.input.floatbank10_copper_sulfate
0.016,diff_rougher.input.floatbank10_copper_sulfate_2
0.015,diff_rougher.state.floatbank10_d_air_1
0.015,encod_dif_rougher.input.feed_zn
0.014,diff_rougher.state.floatbank10_c_level_3
0.014,value__mean_p6_rougher.input.feed_zn
0.014,diff_rougher.input.floatbank11_xanthate_2
0.014,value__mean_p6_rougher.input.floatbank10_copper_sulfate
0.013,rougher.state.floatbank10_f_level
0.011,value__linear_trend__attr_slope_p12_rougher.input.floatbank10_copper_sulfate
0.011,diff_encod_val_rougher.input.feed_fe_3
0.010,value__maximum_p6_rougher.input.feed_zn
0.010,diff_rougher.input.floatbank10_copper_sulfate_3
0.010,value__kurtosis_p12_rougher.input.feed_zn
0.009,value__skewness_p12_rougher.input.feed_sol
0.009,diff_encod_val_rougher.input.feed_zn_3
0.009,diff_encod_dif_rougher.input.feed_fe_3
0.009,diff_encod_val_rougher.input.feed_fe_1
0.009,value__linear_trend__attr_slope_p12_rougher.state.floatbank10_b_air
0.009,diff_rougher.input.feed_sol_2
0.009,value__linear_trend__attr_slope_p12_rougher.input.feed_zn
0.008,value__kurtosis_p12_rougher.state.floatbank10_b_air
0.008,diff_rougher.input.floatbank11_xanthate_3
0.008,value__mean_p6_rougher.input.feed_pb
0.007,value__linear_trend__attr_slope_p12_rougher.input.feed_sol
0.007,value__skewness_p12_rougher.state.floatbank10_b_air
0.007,value__linear_trend__attr_slope_p12_rougher.input.feed_pb
0.007,diff_encod_rel_rougher.input.feed_zn_1
0.005,value__skewness_p12_rougher.input.floatbank11_xanthate
0.005,diff_encod_rel_rougher.input.feed_fe_3
0.005,diff_rougher.input.feed_zn_3
0.005,diff_rougher.input.floatbank11_copper_sulfate_2
0.005,value__skewness_p12_rougher.input.feed_rate
0.005,value__kurtosis_p12_rougher.input.floatbank10_copper_sulfate
0.005,diff_rougher.input.feed_rate_1
0.004,value__minimum_p6_rougher.input.feed_fe
0.004,value__kurtosis_p12_rougher.input.feed_sol
0.004,diff_encod_rel_rougher.input.feed_zn_3
0.004,diff_rougher.input.feed_sol_1
0.004,value__skewness_p12_rougher.input.feed_zn
0.004,value__skewness_p12_rougher.input.feed_pb
0.003,diff_encod_val_rougher.input.feed_pb_2
0.003,value__kurtosis_p12_rougher.input.feed_fe
0.003,diff_rougher.input.floatbank11_copper_sulfate_3
0.003,value__kurtosis_p12_rougher.input.floatbank11_xanthate
0.003,diff_rougher.input.feed_pb_3
0.003,value__kurtosis_p12_rougher.input.feed_pb
0.003,diff_rougher.input.feed_size_1
0.002,diff_rougher.state.floatbank10_d_level_3
0.002,diff_rougher.input.feed_zn_2
0.002,diff_rougher.input.feed_fe_3
0.002,diff_rougher.input.feed_fe_2
0.002,diff_rougher.input.feed_size_3
0.001,diff_rougher.input.feed_pb_2
0.001,diff_rougher.state.floatbank10_d_level_1
0.001,diff_encod_rel_rougher.input.feed_fe_1
0.001,diff_rougher.state.floatbank10_c_level_2
0.001,diff_encod_rel_rougher.input.feed_fe_2
0.001,diff_rougher.state.floatbank10_d_air_2
0.001,diff_rougher.input.floatbank11_copper_sulfate_1
0.001,diff_rougher.input.floatbank10_copper_sulfate_1
0.000,diff_encod_val_rougher.input.feed_fe_2
0.000,diff_rougher.input.feed_size_2
0.000,diff_encod_dif_rougher.input.feed_fe_2
0.000,diff_encod_dif_rougher.input.feed_fe_1
0.000,diff_encod_val_rougher.input.feed_zn_2
0.000,diff_encod_rel_rougher.input.feed_zn_2
0.000,diff_rougher.state.floatbank10_d_level_2
