feature_shap,feature
1.07757,rougher.input.feed_fe
0.83000,rougher.state.floatbank10_a_air
0.72093,rougher.state.floatbank10_a_level
0.40321,encod_val_rougher.input.feed_fe
0.33261,rougher.state.floatbank10_c_air
0.31479,rougher.input.feed_sol
0.27165,encod_val_rougher.input.feed_pb
0.25411,value__quantile__q_0.95_p24_rougher.input.feed_fe
0.24242,value__quantile__q_0.95_p120_rougher.input.feed_fe
0.23927,value__quantile__q_0.95_p120_rougher.input.feed_pb
0.23365,value__quantile__q_0.05_p120_rougher.input.feed_sol
0.23199,encod_val_rougher.input.feed_zn
0.20027,rougher.state.floatbank10_d_air
0.19975,rougher.input.floatbank10_xanthate
0.19550,value__maximum_p6_rougher.input.feed_fe
0.17828,value__quantile__q_0.95_p24_rougher.state.floatbank10_b_air
0.16481,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.16363,value__quantile__q_0.95_p120_rougher.state.floatbank10_b_air
0.14816,value__linear_trend__attr_slope_p120_rougher.input.floatbank11_xanthate
0.14110,encod_dif_rougher.input.feed_pb
0.13847,value__quantile__q_0.95_p120_rougher.input.floatbank10_copper_sulfate
0.13438,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.13206,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.12963,value__quantile__q_0.95_p12_rougher.input.feed_fe
0.12854,value__absolute_sum_of_changes_p120_rougher.input.floatbank10_copper_sulfate
0.12293,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.12021,value__mean_p6_rougher.input.feed_sol
0.11763,value__quantile__q_0.95_p120_rougher.input.floatbank11_xanthate
0.11489,deriv1_rougher.input.feed_zn
0.11091,deriv1_rougher.input.floatbank10_xanthate
0.11082,value__skewness_p120_rougher.input.floatbank10_copper_sulfate
0.11035,value__skewness_p120_rougher.input.feed_sol
0.10486,value__linear_trend__attr_slope_p24_rougher.input.feed_fe
0.10296,value__quantile__q_0.05_p120_rougher.input.feed_fe
0.10185,value__quantile__q_0.95_p12_rougher.input.feed_sol
0.10117,rougher.input.floatbank11_xanthate
0.10105,value__absolute_sum_of_changes_p120_rougher.input.feed_pb
0.09759,deriv1_encod_val_rougher.input.feed_zn
0.09704,value__absolute_sum_of_changes_p120_rougher.state.floatbank10_b_air
0.09342,value__fft_aggregated__aggtype_variance_p120_rougher.input.feed_rate
0.09163,diff_encod_val_rougher.input.feed_pb_s2b0
0.09069,daily_avg_rougher
0.08632,value__quantile__q_0.05_p120_rougher.state.floatbank10_b_air
0.08314,value__fft_aggregated__aggtype_skew_p120_rougher.state.floatbank10_b_air
0.07808,value__skewness_p120_rougher.input.feed_rate
0.07806,diff_rougher.input.floatbank10_xanthate_s2b0
0.07738,value__maximum_p6_rougher.input.feed_pb
0.07670,value__quantile__q_0.05_p120_rougher.input.feed_rate
0.07615,value__mean_p6_rougher.input.feed_rate
0.07587,value__quantile__q_0.95_p120_rougher.input.feed_sol
0.07356,value__skewness_p120_rougher.input.feed_fe
0.07284,value__absolute_sum_of_changes_p24_rougher.input.feed_pb
0.07247,rougher.input.feed_rate
0.07220,rougher.input.feed_zn
0.07129,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.07049,value__quantile__q_0.95_p24_rougher.input.feed_sol
0.07006,rougher.state.floatbank10_f_air
0.06999,value__fft_aggregated__aggtype_centroid_p24_rougher.input.floatbank11_xanthate
0.06969,deriv1_rougher.input.floatbank11_xanthate
0.06854,value__quantile__q_0.95_p12_rougher.input.feed_pb
0.06577,hour
0.06534,value__quantile__q_0.05_p120_rougher.input.floatbank10_copper_sulfate
0.06355,value__linear_trend__attr_slope_p120_rougher.input.feed_pb
0.06112,value__minimum_p6_rougher.input.floatbank11_xanthate
0.06112,encod_dif_rougher.input.feed_zn
0.05997,value__quantile__q_0.95_p120_rougher.input.feed_zn
0.05926,value__minimum_p6_rougher.input.feed_fe
