feature_shap,feature
0.61684,rougher.state.floatbank10_a_level_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.60445,rougher.input.feed_fe_diff_encod_dif_rougher.input.feed_pb
0.42208,rougher.input.feed_fe_poly_secondary_cleaner.state.floatbank2_a_air
0.35352,rougher.state.floatbank10_a_level_rat_rougher.input.floatbank10_xanthate
0.35160,secondary_cleaner.state.floatbank2_a_air_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.32332,rougher.state.floatbank10_a_level_rat_encod_val_rougher.input.feed_fe
0.25116,rougher.state.floatbank10_a_air
0.24970,rougher.state.floatbank10_c_air
0.22308,rougher.state.floatbank10_a_level_rat_rougher.input.feed_sol
0.16880,value__quantile__q_0.95_p120_rougher.input.feed_pb_poly_rougher.input.floatbank10_xanthate
0.16279,rougher.input.feed_sol_poly_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.12872,encod_val_rougher.input.feed_fe_diff_encod_val_rougher.input.feed_pb
0.12356,value__quantile__q_0.95_p120_rougher.input.feed_pb_rat_value__quantile__q_0.95_p120_rougher.input.feed_fe
0.11411,encod_val_rougher.input.feed_fe_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.11357,rougher.input.feed_sol_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.11055,rougher.input.feed_fe_diff_secondary_cleaner.state.floatbank2_a_air
0.10247,rougher.state.floatbank10_a_level_rat_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.10082,deriv1_rougher.input.floatbank10_xanthate
0.10043,primary_cleaner.input.copper_sulfate_poly_value__minimum_p6_rougher.input.floatbank11_xanthate
0.09195,encod_val_rougher.input.feed_zn_poly_rougher.input.feed_sol
0.09184,value__minimum_p6_rougher.input.floatbank11_xanthate_diff_secondary_cleaner.state.floatbank2_a_air
0.08981,rougher.input.feed_rate
0.08942,secondary_cleaner.state.floatbank2_a_air_diff_encod_dif_rougher.input.feed_pb
0.08838,value__quantile__q_0.05_p120_rougher.input.floatbank11_xanthate
0.08754,encod_val_rougher.input.feed_fe_poly_rougher.input.feed_sol
0.08710,daily_avg_rougher
0.08565,rougher.input.feed_fe_poly_value__quantile__q_0.95_p24_rougher.input.feed_fe
0.08282,rougher.input.feed_fe_poly_primary_cleaner.input.copper_sulfate
0.08022,deriv1_rougher.input.feed_zn_diff_secondary_cleaner.state.floatbank2_a_air
0.07921,encod_val_rougher.input.feed_fe
0.07778,value__linear_trend__attr_slope_p120_rougher.input.floatbank11_xanthate
0.07709,rougher.input.feed_fe_poly_encod_val_primary_cleaner.input.feed_size
0.07560,value__quantile__q_0.05_p24_rougher.state.floatbank10_b_air
0.07538,value__linear_trend__attr_slope_p12_rougher.input.feed_rate
0.06859,value__quantile__q_0.05_p12_rougher.state.floatbank10_b_air
0.06800,diff_rougher.input.feed_rate_s3b1
0.06799,value__max_slope_p120_rougher.input.feed_zn
0.06754,value__quantile__q_0.95_p24_rougher.input.feed_pb
0.06750,rougher.state.floatbank10_d_air
0.06660,encod_val_rougher.input.feed_zn_poly_value__quantile__q_0.95_p120_rougher.input.feed_pb
0.06422,rougher.state.floatbank10_a_level_rat_encod_val_rougher.input.feed_zn
0.06390,rougher.input.floatbank11_copper_sulfate
0.06374,encod_val_rougher.input.feed_fe_poly_rougher.input.floatbank10_xanthate
0.06268,value__min_slope_p24_rougher.input.feed_zn
0.06088,value__quantile__q_0.95_p120_rougher.input.floatbank11_xanthate
0.06007,value__quantile__q_0.95_p120_rougher.state.floatbank10_b_air
0.05955,hour
0.05888,value__quantile__q_0.95_p120_rougher.input.floatbank10_copper_sulfate
0.05753,rougher.state.floatbank10_a_level_rat_value__quantile__q_0.95_p24_rougher.input.feed_fe
