feature_shap,feature
0.217,diff_rougher.input.floatbank10_xanthate
0.147,diff_rougher.input.feed_zn
0.110,diff_rougher.input.floatbank11_xanthate
0.060,diff_rougher.input.feed_pb
0.053,diff_encod_val_rougher.input.feed_zn
0.040,diff_rougher.input.feed_fe
0.023,diff_rougher.state.floatbank10_d_air
0.020,diff_rougher.input.floatbank10_copper_sulfate
0.019,diff_rougher.state.floatbank10_c_level
0.017,diff_encod_val_rougher.input.feed_pb
0.015,diff_encod_rel_rougher.input.feed_zn
0.012,diff_rougher.input.floatbank11_copper_sulfate
0.011,diff_rougher.input.feed_sol
0.005,diff_rougher.state.floatbank10_c_air
0.005,diff_rougher.state.floatbank10_b_air
0.005,diff_encod_dif_rougher.input.feed_zn
0.004,diff_rougher.input.feed_size
0.003,diff_rougher.state.floatbank10_f_air
0.003,diff_encod_val_rougher.input.feed_fe
0.002,diff_rougher.input.feed_rate
0.002,diff_encod_rel_rougher.input.feed_fe
0.001,diff_rougher.state.floatbank10_d_level
0.001,diff_encod_dif_rougher.input.feed_fe
0.000,diff_rougher.state.floatbank10_a_air
0.000,diff_encod_dif_rougher.input.feed_pb
0.000,diff_encod_rel_rougher.input.feed_pb
0.000,diff_rougher.state.floatbank10_b_level
0.000,diff_rougher.state.floatbank10_a_level
0.000,diff_hour
0.000,diff_daily_avg_rougher
0.000,diff_rougher.state.floatbank10_f_level
0.000,diff_rougher.state.floatbank10_e_level
0.000,diff_rougher.state.floatbank10_e_air
0.000,diff_dayw
