feature_shap,feature
1.414,rougher.input.feed_fe
1.213,rougher.state.floatbank10_a_air
1.116,encod_val_rougher.input.feed_fe
0.948,rougher.state.floatbank10_a_level
0.538,rougher.input.feed_sol
0.465,rougher.state.floatbank10_c_air
0.437,encod_val_rougher.input.feed_pb
0.361,rougher.input.floatbank10_xanthate
0.293,rougher.state.floatbank10_d_air
0.237,rougher.state.floatbank10_f_air
0.217,diff_rougher.input.floatbank10_xanthate
0.183,encod_dif_rougher.input.feed_pb
0.172,rougher.input.feed_size
0.158,encod_rel_rougher.input.feed_fe
0.158,rougher.state.floatbank10_e_air
0.147,diff_rougher.input.feed_zn
0.127,encod_dif_rougher.input.feed_zn
0.125,rougher.input.floatbank11_xanthate
0.115,rougher.state.floatbank10_b_air
0.111,encod_rel_rougher.input.feed_zn
0.110,rougher.input.feed_rate
0.110,diff_rougher.input.floatbank11_xanthate
0.106,rougher.state.floatbank10_e_level
0.087,hour
0.087,encod_rel_rougher.input.feed_pb
0.080,encod_dif_rougher.input.feed_fe
0.073,rougher.state.floatbank10_b_level
0.066,dayw
0.064,rougher.input.feed_pb
0.061,rougher.input.floatbank10_copper_sulfate
0.060,diff_rougher.input.feed_pb
0.053,diff_encod_val_rougher.input.feed_zn
0.049,rougher.input.floatbank11_copper_sulfate
0.040,diff_rougher.input.feed_fe
0.032,rougher.input.feed_zn
0.023,diff_rougher.state.floatbank10_d_air
0.021,daily_avg_rougher
0.021,encod_val_rougher.input.feed_zn
0.020,diff_rougher.input.floatbank10_copper_sulfate
0.019,diff_rougher.state.floatbank10_c_level
0.017,diff_encod_val_rougher.input.feed_pb
0.016,rougher.state.floatbank10_c_level
0.015,diff_encod_rel_rougher.input.feed_zn
0.014,rougher.state.floatbank10_d_level
0.012,diff_rougher.input.floatbank11_copper_sulfate
0.011,diff_rougher.input.feed_sol
0.005,diff_rougher.state.floatbank10_c_air
0.005,diff_rougher.state.floatbank10_b_air
0.005,diff_encod_dif_rougher.input.feed_zn
0.004,rougher.state.floatbank10_f_level
0.004,diff_rougher.input.feed_size
0.003,diff_rougher.state.floatbank10_f_air
0.003,diff_encod_val_rougher.input.feed_fe
0.002,diff_rougher.input.feed_rate
0.002,diff_encod_rel_rougher.input.feed_fe
0.001,diff_rougher.state.floatbank10_d_level
0.001,diff_encod_dif_rougher.input.feed_fe
0.000,diff_rougher.state.floatbank10_a_air
0.000,diff_encod_dif_rougher.input.feed_pb
0.000,diff_encod_rel_rougher.input.feed_pb
0.000,diff_rougher.state.floatbank10_b_level
0.000,diff_rougher.state.floatbank10_a_level
0.000,diff_hour
0.000,diff_daily_avg_rougher
0.000,diff_rougher.state.floatbank10_f_level
0.000,diff_rougher.state.floatbank10_e_level
0.000,diff_rougher.state.floatbank10_e_air
0.000,diff_dayw
