,rougher.output.recovery,final.output.recovery,date
0,92.94867,74.91573,2016-09-01T00:59:59Z
1,90.35289,72.645935,2016-09-01T01:59:59Z
2,93.2229,75.304985,2016-09-01T02:59:59Z
3,89.99609,72.45914,2016-09-01T03:59:59Z
4,89.173225,71.735435,2016-09-01T04:59:59Z
5,87.66129,70.43618,2016-09-01T05:59:59Z
6,84.85368,68.06,2016-09-01T06:59:59Z
7,85.3677,68.513725,2016-09-01T07:59:59Z
8,85.31424,68.50531,2016-09-01T08:59:59Z
9,84.23872,67.62168,2016-09-01T09:59:59Z
10,80.73774,64.642235,2016-09-01T10:59:59Z
11,81.15958,65.02403,2016-09-01T11:59:59Z
12,82.047485,65.77405,2016-09-01T12:59:59Z
13,80.49761,64.48828,2016-09-01T13:59:59Z
14,80.79143,64.746284,2016-09-01T14:59:59Z
15,80.47742,64.45852,2016-09-01T15:59:59Z
16,80.28555,64.25434,2016-09-01T16:59:59Z
17,80.29624,64.26567,2016-09-01T17:59:59Z
18,80.31965,64.312614,2016-09-01T18:59:59Z
19,79.87319,63.81877,2016-09-01T19:59:59Z
20,79.771866,63.69667,2016-09-01T20:59:59Z
21,80.798836,64.87814,2016-09-01T21:59:59Z
22,81.08434,65.064415,2016-09-01T22:59:59Z
23,80.932495,64.91196,2016-09-01T23:59:59Z
24,80.83083,64.833626,2016-09-02T00:59:59Z
25,80.87251,64.8588,2016-09-02T01:59:59Z
26,80.05897,64.03033,2016-09-02T02:59:59Z
27,80.455246,64.48155,2016-09-02T03:59:59Z
28,82.14425,65.956726,2016-09-02T04:59:59Z
29,84.19115,67.69027,2016-09-02T05:59:59Z
30,86.250145,68.52541,2016-09-02T06:59:59Z
31,71.43537,54.142097,2016-09-02T07:59:59Z
32,77.68149,61.308353,2016-09-02T08:59:59Z
33,80.45774,64.43929,2016-09-02T09:59:59Z
34,78.90246,62.639282,2016-09-02T10:59:59Z
35,79.44826,63.26849,2016-09-02T11:59:59Z
36,78.86417,62.67322,2016-09-02T12:59:59Z
37,79.19153,63.046066,2016-09-02T13:59:59Z
38,79.09134,62.928005,2016-09-02T14:59:59Z
39,79.47096,63.35351,2016-09-02T15:59:59Z
40,79.426094,63.302826,2016-09-02T16:59:59Z
41,79.76534,63.684734,2016-09-02T17:59:59Z
42,80.41587,64.227234,2016-09-02T18:59:59Z
43,86.659225,69.57302,2016-09-02T19:59:59Z
44,81.51405,65.40865,2016-09-02T20:59:59Z
45,82.035805,65.75001,2016-09-02T21:59:59Z
46,81.709564,65.45296,2016-09-02T22:59:59Z
