,rougher.output.recovery,final.output.recovery,date
0,93.20115,73.93023,2016-09-01T00:59:59Z
1,96.57409,76.64253,2016-09-01T01:59:59Z
2,96.10495,76.213,2016-09-01T02:59:59Z
3,95.339386,75.686745,2016-09-01T03:59:59Z
4,95.518776,75.83944,2016-09-01T04:59:59Z
5,94.813126,75.274345,2016-09-01T05:59:59Z
6,94.29597,74.85477,2016-09-01T06:59:59Z
7,93.76428,74.45572,2016-09-01T07:59:59Z
8,93.37866,74.165504,2016-09-01T08:59:59Z
9,92.22716,73.26917,2016-09-01T09:59:59Z
10,90.81002,72.16145,2016-09-01T10:59:59Z
11,91.36032,72.58312,2016-09-01T11:59:59Z
12,91.36079,72.59359,2016-09-01T12:59:59Z
13,89.88434,71.440285,2016-09-01T13:59:59Z
14,92.02442,73.118774,2016-09-01T14:59:59Z
15,92.18476,73.243286,2016-09-01T15:59:59Z
16,93.18934,74.02701,2016-09-01T16:59:59Z
17,91.80224,72.94609,2016-09-01T17:59:59Z
18,91.331,72.57317,2016-09-01T18:59:59Z
19,87.42387,69.51708,2016-09-01T19:59:59Z
20,90.32748,71.73095,2016-09-01T20:59:59Z
21,91.16862,72.45061,2016-09-01T21:59:59Z
22,93.49019,74.24256,2016-09-01T22:59:59Z
23,92.02832,73.13478,2016-09-01T23:59:59Z
24,91.75134,72.9184,2016-09-02T00:59:59Z
25,91.29331,72.55634,2016-09-02T01:59:59Z
26,86.23277,68.5371,2016-09-02T02:59:59Z
27,93.60776,74.337135,2016-09-02T03:59:59Z
28,92.847115,73.74638,2016-09-02T04:59:59Z
29,92.3215,73.34453,2016-09-02T05:59:59Z
30,79.013535,62.61913,2016-09-02T06:59:59Z
31,70.29712,55.7478,2016-09-02T07:59:59Z
32,83.306915,65.51748,2016-09-02T08:59:59Z
33,90.07997,71.59393,2016-09-02T09:59:59Z
34,85.40897,67.996346,2016-09-02T10:59:59Z
35,88.366554,70.26858,2016-09-02T11:59:59Z
36,82.41697,65.58269,2016-09-02T12:59:59Z
37,82.58921,65.723465,2016-09-02T13:59:59Z
38,83.12315,66.14231,2016-09-02T14:59:59Z
39,85.31232,67.90599,2016-09-02T15:59:59Z
40,87.34611,69.52504,2016-09-02T16:59:59Z
41,87.89756,69.94859,2016-09-02T17:59:59Z
42,88.9756,70.80158,2016-09-02T18:59:59Z
43,88.86706,70.69632,2016-09-02T19:59:59Z
44,88.86966,70.69892,2016-09-02T20:59:59Z
45,92.40904,73.44818,2016-09-02T21:59:59Z
46,92.50572,73.51728,2016-09-02T22:59:59Z
47,91.16647,72.4849,2016-09-02T23:59:59Z
48,90.45544,71.9299,2016-09-03T00:59:59Z
49,89.84717,71.45222,2016-09-03T01:59:59Z
50,90.07091,71.62334,2016-09-03T02:59:59Z
51,90.88937,72.269714,2016-09-03T03:59:59Z
52,90.45793,71.93252,2016-09-03T04:59:59Z
53,90.05107,71.6322,2016-09-03T05:59:59Z
54,90.948944,72.298164,2016-09-03T06:59:59Z
55,92.47164,73.46946,2016-09-03T07:59:59Z
56,92.258575,73.299355,2016-09-03T08:59:59Z
57,89.291275,70.98959,2016-09-03T09:59:59Z
58,88.346436,70.23399,2016-09-03T10:59:59Z
59,89.80574,71.37128,2016-09-03T11:59:59Z
60,89.63446,71.24002,2016-09-03T12:59:59Z
61,90.375206,71.83058,2016-09-03T13:59:59Z
62,90.11825,71.62111,2016-09-03T14:59:59Z
63,88.58124,70.41598,2016-09-03T15:59:59Z
64,87.716576,69.73777,2016-09-03T16:59:59Z
65,87.33603,69.41606,2016-09-03T17:59:59Z
66,86.480774,68.738846,2016-09-03T18:59:59Z
67,89.22208,70.91765,2016-09-03T19:59:59Z
68,88.75443,70.5396,2016-09-03T20:59:59Z
69,88.57233,70.39216,2016-09-03T21:59:59Z
70,87.87694,69.887436,2016-09-03T22:59:59Z
71,87.59563,69.63761,2016-09-03T23:59:59Z
72,86.600266,68.85863,2016-09-04T00:59:59Z
73,85.7716,68.19357,2016-09-04T01:59:59Z
74,86.72775,68.97834,2016-09-04T02:59:59Z
75,85.992,68.3944,2016-09-04T03:59:59Z
76,86.97029,69.18697,2016-09-04T04:59:59Z
77,86.570885,68.79663,2016-09-04T05:59:59Z
78,88.92912,70.76389,2016-09-04T06:59:59Z
79,90.0219,71.55834,2016-09-04T07:59:59Z
80,89.24796,70.99263,2016-09-04T08:59:59Z
81,88.95916,70.76851,2016-09-04T09:59:59Z
82,88.16506,70.14539,2016-09-04T10:59:59Z
83,88.72278,70.58337,2016-09-04T11:59:59Z
84,87.75299,69.75394,2016-09-04T12:59:59Z
85,90.37817,71.85713,2016-09-04T13:59:59Z
86,90.59782,72.03799,2016-09-04T14:59:59Z
87,90.574295,72.024864,2016-09-04T15:59:59Z
88,90.48629,71.95175,2016-09-04T16:59:59Z
89,89.22658,70.97397,2016-09-04T17:59:59Z
90,88.92902,70.71133,2016-09-04T18:59:59Z
91,90.015305,71.527596,2016-09-04T19:59:59Z
92,89.83456,71.398544,2016-09-04T20:59:59Z
93,89.91763,71.497604,2016-09-04T21:59:59Z
94,89.50962,71.15335,2016-09-04T22:59:59Z
95,90.54524,71.976395,2016-09-04T23:59:59Z
96,90.2317,71.74466,2016-09-05T00:59:59Z
97,89.78772,71.39715,2016-09-05T01:59:59Z
98,87.03924,69.19471,2016-09-05T02:59:59Z
99,89.5482,71.1981,2016-09-05T03:59:59Z
100,91.854454,72.986404,2016-09-05T04:59:59Z
101,89.53663,71.190895,2016-09-05T05:59:59Z
102,90.163666,71.673515,2016-09-05T06:59:59Z
103,89.77729,71.36991,2016-09-05T07:59:59Z
104,89.10555,70.849525,2016-09-05T08:59:59Z
105,92.11752,73.19042,2016-09-05T09:59:59Z
106,92.95627,73.839195,2016-09-05T10:59:59Z
107,92.36479,73.40027,2016-09-05T11:59:59Z
108,93.322556,74.10712,2016-09-05T12:59:59Z
109,92.32016,73.35516,2016-09-05T13:59:59Z
110,92.822845,73.72866,2016-09-05T14:59:59Z
111,93.05371,73.92309,2016-09-05T15:59:59Z
112,93.0037,73.87747,2016-09-05T16:59:59Z
113,92.09602,73.18031,2016-09-05T17:59:59Z
114,92.01673,73.11418,2016-09-05T18:59:59Z
115,92.2807,73.310036,2016-09-05T19:59:59Z
116,92.92156,73.80899,2016-09-05T20:59:59Z
117,92.8266,73.74205,2016-09-05T21:59:59Z
118,91.88273,73.026054,2016-09-05T22:59:59Z
119,91.3165,72.57306,2016-09-05T23:59:59Z
120,93.25217,74.07576,2016-09-06T00:59:59Z
121,93.49629,74.26065,2016-09-06T01:59:59Z
122,93.27285,74.094124,2016-09-06T02:59:59Z
123,93.25549,74.08478,2016-09-06T03:59:59Z
124,92.900604,73.81477,2016-09-06T04:59:59Z
125,92.83861,73.77652,2016-09-06T05:59:59Z
126,92.70361,73.67269,2016-09-06T06:59:59Z
127,93.29776,74.128944,2016-09-06T07:59:59Z
128,91.922966,73.05038,2016-09-06T08:59:59Z
129,87.3256,69.415146,2016-09-06T09:59:59Z
130,93.34686,74.16747,2016-09-06T10:59:59Z
131,94.02327,74.668076,2016-09-06T11:59:59Z
132,94.01909,74.65247,2016-09-06T12:59:59Z
133,93.736275,74.43811,2016-09-06T13:59:59Z
134,93.57397,74.311554,2016-09-06T14:59:59Z
135,93.736115,74.43666,2016-09-06T15:59:59Z
136,93.25559,74.06254,2016-09-06T16:59:59Z
137,92.43703,73.43382,2016-09-06T17:59:59Z
138,91.9989,73.10029,2016-09-06T18:59:59Z
139,92.73437,73.66794,2016-09-06T19:59:59Z
140,93.065956,73.91957,2016-09-06T20:59:59Z
141,93.42813,74.191475,2016-09-06T21:59:59Z
142,93.41627,74.186844,2016-09-06T22:59:59Z
143,93.625046,74.35794,2016-09-06T23:59:59Z
144,93.891594,74.554565,2016-09-07T00:59:59Z
145,93.196655,73.99848,2016-09-07T01:59:59Z
146,91.380745,72.53455,2016-09-07T02:59:59Z
147,91.88771,72.98461,2016-09-07T03:59:59Z
148,93.984344,74.61407,2016-09-07T04:59:59Z
149,93.33507,74.13663,2016-09-07T05:59:59Z
150,93.203445,74.034134,2016-09-07T06:59:59Z
151,92.46266,73.449684,2016-09-07T07:59:59Z
152,92.369995,73.382164,2016-09-07T08:59:59Z
153,93.36283,74.14677,2016-09-07T09:59:59Z
154,93.18312,74.015366,2016-09-07T10:59:59Z
155,93.40494,74.18993,2016-09-07T11:59:59Z
156,94.027306,74.675705,2016-09-07T12:59:59Z
157,92.797966,73.73732,2016-09-07T13:59:59Z
158,92.603455,73.55439,2016-09-07T14:59:59Z
159,92.68372,73.6116,2016-09-07T15:59:59Z
160,92.363434,73.36912,2016-09-07T16:59:59Z
161,94.101265,74.714836,2016-09-07T17:59:59Z
162,92.8264,73.73714,2016-09-07T18:59:59Z
163,91.04912,72.35712,2016-09-07T19:59:59Z
164,90.46913,71.84458,2016-09-07T20:59:59Z
165,92.28074,73.24487,2016-09-07T21:59:59Z
166,93.30347,74.08176,2016-09-07T22:59:59Z
